query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,5,1,11.724,7.804
1,1,b,5,1,0.373,0.265
2,1,c,5,1,2.146,1.200
3,1,d,5,1,0.350,0.293
4,2,a,5,1,405.479,316.832
5,2,b,5,1,307.023,301.781
6,2,c,5,1,34.680,33.211
7,2,d,5,1,550.901,502.433
8,3,a,4,1,174.228,143.048
9,3,b,4,1,90.235,88.084
10,3,c,4,1,326.095,290.568
11,4,a,5,1,94.805,87.399
12,4,b,5,1,209.927,190.472
13,4,c,5,1,122.115,115.023
14,5,a,5,1,289.978,275.626
15,5,b,5,1,274.831,274.787
16,5,c,5,1,318.894,310.725
17,6,a,5,1,25.513,17.578
18,6,b,5,1,219.561,198.507
19,6,c,5,1,13.484,12.952
20,6,d,5,1,911.109,815.320
21,6,e,5,1,20.658,17.566
22,6,f,5,1,4390.864,4511.359
23,7,a,8,1,156.564,88.775
24,7,b,8,1,211.808,179.841
25,7,c,8,1,4096.654,3706.697
26,8,a,7,1,1084.136,1076.949
27,8,b,7,1,415.516,414.012
28,8,c,7,1,10137.546,9812.122
29,8,d,7,1,4507.472,4661.174
30,9,a,8,1,1304.783,1302.893
31,9,b,8,1,1287.973,1286.705
32,9,c,8,1,2904.865,2833.814
33,9,d,8,1,8885.013,8522.304
34,10,a,7,1,321.102,302.605
35,10,b,7,1,137.790,139.802
36,10,c,7,1,7892.572,7674.307
37,11,a,8,1,37.709,30.838
38,11,b,8,1,26.715,26.525
39,11,c,8,1,174.812,165.715
40,11,d,8,1,173.826,173.736
41,12,a,8,1,516.445,493.039
42,12,b,8,1,0.690,0.436
43,12,c,8,1,2353.247,2280.395
44,13,a,9,1,1711.885,1653.062
45,13,b,9,1,340.045,320.426
46,13,c,9,1,238.008,237.783
47,13,d,9,1,4422.992,4395.746
48,14,a,8,1,319.771,306.120
49,14,b,8,1,125.370,124.200
50,14,c,8,1,659.523,640.806
51,15,a,9,1,1044.397,993.818
52,15,b,9,1,44.642,42.853
53,15,c,9,1,815.999,819.522
54,15,d,9,1,1004.686,963.207
55,16,a,8,1,187.664,195.920
56,16,b,8,1,10138.488,9930.076
57,16,c,8,1,1860.255,1852.417
58,16,d,8,1,1521.416,1531.578
59,17,a,7,1,3659.220,3760.326
60,17,b,7,1,2584.329,2587.571
61,17,c,7,1,2523.588,2440.314
62,17,d,7,1,2650.969,2656.275
63,17,e,7,1,7587.229,7556.483
64,17,f,7,1,4897.231,4883.234
65,18,a,7,1,7109.840,7109.581
66,18,b,7,1,392.245,351.998
67,18,c,7,1,8640.419,8632.219
68,19,a,10,1,2751.239,2715.871
69,19,b,10,1,441.591,417.563
70,19,c,10,1,2948.636,2976.597
71,19,d,10,1,9385.796,9391.999
72,20,a,10,1,2163.522,2300.910
73,20,b,10,1,844.993,847.273
74,20,c,10,1,883.235,859.800
75,21,a,9,1,40.100,35.889
76,21,b,9,1,28.521,28.383
77,21,c,9,1,39.129,39.274
78,22,a,11,1,376.406,385.771
79,22,b,11,1,270.417,269.995
80,22,c,11,1,814.619,795.091
81,22,d,11,1,839.462,844.419
82,23,a,11,1,232.541,227.563
83,23,b,11,1,42.963,39.738
84,23,c,11,1,450.150,431.669
85,24,a,12,1,153.910,147.010
86,24,b,12,1,43.216,41.343
87,25,a,9,1,1101.040,1138.007
88,25,b,9,1,350.223,314.583
89,25,c,9,1,8495.572,8490.826
90,26,a,12,1,367.659,367.591
91,26,b,12,1,107.102,103.298
92,26,c,12,1,817.555,816.411
93,27,a,12,1,23.189,21.513
94,27,b,12,1,13.073,12.636
95,27,c,12,1,31.689,29.818
96,28,a,14,1,380.272,375.489
97,28,b,14,1,198.401,187.849
98,28,c,14,1,661.954,659.578
99,29,a,17,1,137.509,135.389
100,29,b,17,1,57.004,53.479
101,29,c,17,1,128.136,123.358
102,30,a,12,1,747.814,715.474
103,30,b,12,1,400.312,391.080
104,30,c,12,1,2395.353,2371.408
105,31,a,11,1,245.342,243.516
106,31,b,11,1,50.507,49.930
107,31,c,11,1,342.066,341.470
108,32,a,6,1,14.938,13.525
109,32,b,6,1,236.512,231.827
110,33,a,14,1,66.637,62.837
111,33,b,14,1,21.922,23.237
112,33,c,14,1,107.118,104.103
