query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,0,1,20.073,7.946
0,1,a,1,0,7.802,7.800
0,1,a,2,1,7.903,7.801
0,1,a,3,0,7.795,7.812
0,1,a,4,0,7.817,8.405
0,1,a,5,0,8.600,7.805
1,1,b,0,1,0.578,0.257
1,1,b,1,0,0.257,0.255
1,1,b,2,0,0.258,0.256
1,1,b,3,0,0.256,0.266
1,1,b,4,0,0.255,0.256
1,1,b,5,0,0.256,0.256
2,1,c,0,1,5.547,5.550
2,1,c,1,0,5.545,5.540
2,1,c,2,1,5.545,5.521
2,1,c,3,1,4.050,1.190
2,1,c,4,0,1.206,1.184
2,1,c,5,0,1.201,1.193
3,1,d,0,1,0.341,0.275
3,1,d,1,0,0.275,0.275
3,1,d,2,0,0.274,0.273
3,1,d,3,0,0.274,0.284
3,1,d,4,1,0.396,0.286
3,1,d,5,0,0.287,0.288
4,2,a,0,1,1048.194,654.530
4,2,a,1,0,653.501,654.305
4,2,a,2,1,321.367,321.747
4,2,a,3,0,321.865,323.079
4,2,a,4,0,321.704,322.277
4,2,a,5,0,321.607,321.975
5,2,b,0,1,662.885,645.220
5,2,b,1,0,641.317,641.676
5,2,b,2,1,306.115,307.344
5,2,b,3,0,307.086,307.222
5,2,b,4,0,307.366,307.032
5,2,b,5,0,306.748,306.793
6,2,c,0,1,612.377,612.742
6,2,c,1,0,610.714,612.598
6,2,c,2,1,35.680,34.479
6,2,c,3,0,34.499,34.500
6,2,c,4,0,34.520,34.763
6,2,c,5,0,34.623,34.423
7,2,d,0,1,1043.216,831.615
7,2,d,1,0,828.854,830.569
7,2,d,2,1,564.377,564.623
7,2,d,3,0,565.918,567.310
7,2,d,4,1,511.058,511.341
7,2,d,5,0,511.148,511.029
8,3,a,0,1,280.712,144.849
8,3,a,1,0,143.625,143.438
8,3,a,2,0,143.506,143.236
8,3,a,3,0,143.311,143.695
8,3,a,4,0,143.359,143.233
9,3,b,0,1,90.630,88.930
9,3,b,1,0,88.979,88.429
9,3,b,2,0,88.792,88.436
9,3,b,3,0,88.753,88.748
9,3,b,4,0,88.469,88.407
10,3,c,0,1,458.013,291.862
10,3,c,1,0,291.354,291.425
10,3,c,2,0,291.290,291.275
10,3,c,3,0,291.283,291.434
10,3,c,4,0,291.515,291.215
11,4,a,0,1,160.499,111.218
11,4,a,1,1,2322.521,1938.788
11,4,a,2,0,112.732,109.009
11,4,a,3,0,109.174,109.894
11,4,a,4,1,90.507,88.419
11,4,a,5,0,88.137,87.840
12,4,b,0,1,82.703,80.652
12,4,b,1,1,185.286,183.473
12,4,b,2,0,183.582,183.972
12,4,b,3,0,183.829,183.668
12,4,b,4,0,183.551,183.402
12,4,b,5,0,183.296,183.592
13,4,c,0,1,127.952,124.271
13,4,c,1,0,124.175,123.786
13,4,c,2,0,123.883,124.022
13,4,c,3,0,124.015,124.075
13,4,c,4,1,116.434,116.215
13,4,c,5,0,115.970,115.780
14,5,a,0,1,323.349,277.583
14,5,a,1,1,276.407,276.382
14,5,a,2,1,277.310,277.176
14,5,a,3,0,277.173,277.166
14,5,a,4,0,277.148,277.222
14,5,a,5,0,277.211,277.228
15,5,b,0,1,277.099,276.967
15,5,b,1,1,277.030,277.093
15,5,b,2,1,277.114,277.144
15,5,b,3,0,277.097,277.265
15,5,b,4,0,277.235,277.139
15,5,b,5,0,277.257,277.187
16,5,c,0,1,347.980,310.626
16,5,c,1,0,310.408,310.427
16,5,c,2,1,312.133,312.438
16,5,c,3,0,312.183,312.179
16,5,c,4,0,312.108,312.281
16,5,c,5,0,312.157,312.121
17,6,a,0,1,45.614,20.012
17,6,a,1,0,18.454,18.408
