query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,2,1,4320.834,8.760
0,1,a,3,1,7.742,7.725
0,1,a,4,1,7.712,7.725
1,1,b,2,1,158.966,0.295
1,1,b,3,0,0.254,0.263
1,1,b,4,0,0.266,0.252
2,1,c,2,1,6.075,5.458
2,1,c,3,1,787.685,1.484
2,1,c,4,1,6.147,5.477
3,1,d,2,1,45.442,0.274
3,1,d,3,0,0.271,0.282
3,1,d,4,0,0.272,0.270
4,2,a,2,1,14049.799,322.880
4,2,a,3,0,327.721,327.480
4,2,a,4,0,325.417,325.479
5,2,b,2,1,3094.826,308.446
5,2,b,3,0,310.259,312.679
5,2,b,4,0,312.053,311.136
6,2,c,2,1,282.438,287.825
6,2,c,3,0,278.773,279.853
6,2,c,4,0,280.657,279.728
7,2,d,2,1,11483.967,664.121
7,2,d,3,0,673.845,728.388
7,2,d,4,1,5894.613,723.686
8,3,a,2,1,22094.815,151.359
8,3,a,3,0,147.796,147.118
8,3,a,4,0,147.039,146.937
9,3,b,2,1,95.809,91.443
9,3,b,3,0,89.302,90.663
9,3,b,4,0,89.623,89.688
10,3,c,2,1,19584.651,326.379
10,3,c,3,1,15581.074,678.940
10,3,c,4,0,685.175,685.354
11,4,a,2,1,864.691,111.526
11,4,a,3,0,110.055,110.136
11,4,a,4,0,112.832,110.976
12,4,b,2,1,84.057,82.300
12,4,b,3,0,82.982,82.898
12,4,b,4,0,82.102,82.789
13,4,c,2,1,134.682,127.103
13,4,c,3,0,125.931,124.704
13,4,c,4,0,124.295,124.769
14,5,a,2,1,397.895,281.122
14,5,a,3,0,282.299,281.853
14,5,a,4,0,279.205,281.205
15,5,b,2,1,282.987,283.366
15,5,b,3,0,282.454,281.901
15,5,b,4,0,283.151,282.467
16,5,c,2,1,7409.668,1415.157
16,5,c,3,0,1403.185,1401.618
16,5,c,4,0,1409.387,1397.184
17,6,a,2,1,13193.920,19.247
17,6,a,3,0,16.644,16.703
17,6,a,4,0,16.672,16.680
18,6,b,2,1,10959.340,241.734
18,6,b,3,0,200.252,199.857
18,6,b,4,0,198.207,200.032
19,6,c,2,1,12.110,11.898
19,6,c,3,0,11.900,11.898
19,6,c,4,0,13.497,12.062
20,6,d,2,1,973913.988,10820.268
20,6,d,3,1,4978.433,4719.609
20,6,d,4,0,4806.125,4679.140
21,6,e,2,1,33.292,19.764
21,6,e,3,0,17.261,17.250
21,6,e,4,0,17.181,17.140
22,6,f,2,1,11637.325,11654.552
22,6,f,3,1,7061.029,6909.386
22,6,f,4,0,7060.022,6916.004
23,7,a,2,1,25015.874,1367.800
23,7,a,3,1,3293.608,246.899
23,7,a,4,1,193.341,109.237
24,7,b,2,1,720.599,227.442
24,7,b,3,0,210.136,200.933
24,7,b,4,0,201.714,209.124
25,7,c,2,1,7315.346,5738.268
25,7,c,3,0,5738.728,5712.812
25,7,c,4,1,6532.945,6563.375
26,8,a,2,1,22625.489,4671.358
26,8,a,3,1,4804.995,4891.172
26,8,a,4,0,4703.532,4616.002
27,8,b,2,1,827.986,593.750
27,8,b,3,0,593.774,593.109
27,8,b,4,0,594.351,592.074
28,8,c,2,1,10535.559,10534.438
28,8,c,3,1,10369.875,10314.030
28,8,c,4,0,10636.538,10373.909
29,8,d,2,1,4917.673,4748.422
29,8,d,3,1,4533.095,4542.516
29,8,d,4,0,4492.287,4482.352
30,9,a,2,1,2896.746,1012.871
30,9,a,3,0,1028.712,1033.566
30,9,a,4,1,1318.570,1019.305
31,9,b,2,1,1029.583,985.037
31,9,b,3,0,989.027,989.359
31,9,b,4,0,988.950,995.025
32,9,c,2,1,11615.056,1617.373
32,9,c,3,1,1678.024,1588.502
32,9,c,4,1,1563.915,1559.816
33,9,d,2,1,42047.451,7327.490
33,9,d,3,1,7236.718,7355.380
33,9,d,4,0,7372.573,7214.948
34,10,a,2,1,3378.070,785.919
34,10,a,3,1,779.581,777.323
34,10,a,4,1,785.170,781.727
35,10,b,2,1,251.713,146.867
35,10,b,3,0,148.083,148.501
35,10,b,4,1,144.935,145.550
36,10,c,2,1,7793.870,7534.242
36,10,c,3,1,7369.570,7349.495
36,10,c,4,0,7499.983,7517.214
37,11,a,2,1,89.818,36.036
37,11,a,3,1,33.676,32.917
37,11,a,4,0,33.337,32.240
38,11,b,2,1,28.856,28.252
38,11,b,3,0,28.284,28.743
38,11,b,4,0,28.605,27.458
39,11,c,2,1,327.376,264.731
39,11,c,3,1,2289.905,196.228
39,11,c,4,1,209.669,209.616
40,11,d,2,1,288.414,285.079
40,11,d,3,1,216.406,216.479
40,11,d,4,1,292.281,288.093
41,12,a,2,1,8098.585,657.810
41,12,a,3,1,3722.839,480.173
41,12,a,4,1,517.268,509.152
42,12,b,2,1,46.608,9.429
42,12,b,3,0,9.403,9.449
42,12,b,4,0,9.430,9.475
43,12,c,2,1,12147.452,3190.211
43,12,c,3,1,5949.976,3650.445
43,12,c,4,1,2713.430,2704.820
44,13,a,2,1,2438.434,1961.629
44,13,a,3,1,2065.625,2036.675
