query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,5,1,207.432,198.616
1,1,b,5,1,193.714,194.462
2,1,c,5,1,194.973,194.253
3,1,d,5,1,199.907,199.887
4,2,a,5,1,857.267,822.062
5,2,b,5,1,808.977,807.826
6,2,c,5,1,22.426,22.354
7,2,d,5,1,992.244,978.716
8,3,a,4,1,712.302,703.722
9,3,b,4,1,663.967,663.234
10,3,c,4,1,863.291,852.321
11,4,a,5,1,666.709,667.121
12,4,b,5,1,179.616,182.386
13,4,c,5,1,688.831,688.709
14,5,a,5,1,194.571,191.280
15,5,b,5,1,190.780,191.000
16,5,c,5,1,219.514,216.414
17,6,a,5,1,548.930,520.696
18,6,b,5,1,237.639,232.197
19,6,c,5,1,225.217,231.182
20,6,d,5,1,523.120,506.815
21,6,e,5,1,532.764,551.820
22,6,f,5,1,3655.271,3521.900
23,7,a,8,1,282.427,257.525
24,7,b,8,1,139.747,125.120
25,7,c,8,1,2278.626,2250.690
26,8,a,7,1,714.132,710.084
27,8,b,7,1,260.345,258.811
28,8,c,7,1,6955.634,6946.674
29,8,d,7,1,3210.125,3205.864
30,9,a,8,1,892.675,874.047
31,9,b,8,1,871.947,871.121
32,9,c,8,1,1912.567,1880.914
33,9,d,8,1,5981.555,5959.018
34,10,a,7,1,257.154,233.094
35,10,b,7,1,93.922,91.686
36,10,c,7,1,4745.770,4702.306
37,11,a,8,1,40.286,39.061
38,11,b,8,1,6.614,6.528
39,11,c,8,1,159.445,155.777
40,11,d,8,1,157.417,161.370
41,12,a,8,1,398.381,389.772
42,12,b,8,1,198.306,198.792
43,12,c,8,1,1612.006,1582.495
44,13,a,9,1,1053.556,1046.478
45,13,b,9,1,491.218,490.160
46,13,c,9,1,328.530,330.297
47,13,d,9,1,4278.715,4232.631
48,14,a,8,1,833.085,833.984
49,14,b,8,1,292.437,291.005
50,14,c,8,1,1013.113,1009.911
51,15,a,9,1,609.221,592.477
52,15,b,9,1,27.320,27.230
53,15,c,9,1,2858.290,2854.745
54,15,d,9,1,2888.559,2888.452
55,16,a,8,1,711.089,709.461
56,16,b,8,1,6971.103,6969.974
57,16,c,8,1,1759.007,1749.572
58,16,d,8,1,1548.012,1542.859
59,17,a,7,1,3153.395,3071.369
60,17,b,7,1,2310.497,2305.065
61,17,c,7,1,2023.283,2015.972
62,17,d,7,1,2315.922,2298.365
63,17,e,7,1,5435.594,5440.894
64,17,f,7,1,3736.822,3724.603
65,18,a,7,1,4089.538,4081.647
66,18,b,7,1,316.134,311.627
67,18,c,7,1,7064.070,7003.459
68,19,a,10,1,1844.497,1839.115
69,19,b,10,1,266.853,267.176
70,19,c,10,1,1950.543,1954.182
71,19,d,10,1,8477.612,8493.760
72,20,a,10,1,708.418,708.824
73,20,b,10,1,503.867,521.776
74,20,c,10,1,1089.977,1066.116
75,21,a,9,1,42.662,43.312
76,21,b,9,1,38.148,35.887
77,21,c,9,1,42.211,42.475
78,22,a,11,1,864.122,861.980
79,22,b,11,1,993.190,980.376
80,22,c,11,1,1119.308,1120.700
81,22,d,11,1,1136.150,1134.319
82,23,a,11,1,135.147,130.766
83,23,b,11,1,126.091,124.646
84,23,c,11,1,247.112,245.487
85,24,a,12,1,756.702,752.893
86,24,b,12,1,25.867,25.817
87,25,a,9,1,2262.615,2270.472
88,25,b,9,1,234.819,234.075
89,25,c,9,1,5449.225,5441.399
90,26,a,12,1,513.964,508.095
91,26,b,12,1,243.277,240.729
92,26,c,12,1,1101.295,1093.792
93,27,a,12,1,16.437,16.015
94,27,b,12,1,13.388,13.375
95,27,c,12,1,19.438,19.436
96,28,a,14,1,649.390,642.632
97,28,b,14,1,370.097,373.237
98,28,c,14,1,672.918,661.245
99,29,a,17,1,82.945,76.033
100,29,b,17,1,80.736,79.787
101,29,c,17,1,282.445,282.284
102,30,a,12,1,241.373,234.957
103,30,b,12,1,68.560,67.222
104,30,c,12,1,1354.978,1332.929
105,31,a,11,1,155.745,147.626
106,31,b,11,1,31.717,30.780
107,31,c,11,1,217.793,212.618
108,32,a,6,1,235.477,228.536
109,32,b,6,1,242.326,237.247
110,33,a,14,1,24.544,23.477
111,33,b,14,1,16.079,15.781
112,33,c,14,1,24.719,25.270
