query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,5,1,1092.722,258.328
1,1,b,5,1,18.258,0.184
2,1,c,5,1,5271.306,235.467
3,1,d,5,1,3.768,0.195
4,2,a,5,1,6161.924,462.304
5,2,b,5,1,864.703,436.727
6,2,c,5,1,383.287,389.798
7,2,d,5,1,4911.413,602.933
8,3,a,4,1,8054.100,106.199
9,3,b,4,1,63.586,62.965
10,3,c,4,1,10409.923,213.820
11,4,a,5,1,75.268,66.631
12,4,b,5,1,145.968,56.589
13,4,c,5,1,89.169,88.654
14,5,a,5,1,194.986,195.100
15,5,b,5,1,191.945,193.812
16,5,c,5,1,2617.350,222.813
17,6,a,5,1,2088.879,13.250
18,6,b,5,1,2081.694,135.112
19,6,c,5,1,8.937,8.626
20,6,d,5,1,131335.498,3170.943
21,6,e,5,1,13.018,12.641
22,6,f,5,1,3747.977,3745.954
23,7,a,8,1,7407.000,759.421
24,7,b,8,1,213.392,153.239
25,7,c,8,1,17973.239,2824.422
26,8,a,7,1,12238.655,1408.298
27,8,b,7,1,1033.624,142.532
28,8,c,7,1,15644.541,12633.537
29,8,d,7,1,6018.086,6001.545
30,9,a,8,1,2705.684,1512.275
31,9,b,8,1,7308.503,2127.157
32,9,c,8,1,3158.000,1603.679
33,9,d,8,1,16819.529,6339.728
34,10,a,7,1,652.396,273.590
35,10,b,7,1,114.011,113.004
36,10,c,7,1,7827.606,6644.195
37,11,a,8,1,57.735,27.408
38,11,b,8,1,2.916,2.816
39,11,c,8,1,641.905,552.879
40,11,d,8,1,192.843,182.964
41,12,a,8,1,1428.012,986.572
42,12,b,8,1,551.059,380.818
43,12,c,8,1,1572.294,1453.629
44,13,a,9,1,16761.689,16483.615
45,13,b,9,1,317.984,213.748
46,13,c,9,1,158.520,161.382
47,13,d,9,1,16263.167,16353.731
48,14,a,8,1,2533.345,194.402
49,14,b,8,1,118.871,70.393
50,14,c,8,1,7458.739,429.995
51,15,a,9,1,734.925,526.579
52,15,b,9,1,87.820,26.908
53,15,c,9,1,612.195,533.550
54,15,d,9,1,981.961,577.018
55,16,a,8,1,181.585,116.984
56,16,b,8,1,19817.865,18214.975
57,16,c,8,1,1595.241,1586.700
58,16,d,8,1,1253.102,1259.384
59,17,a,7,1,9735.347,9689.207
60,17,b,7,1,5858.841,4764.455
61,17,c,7,1,4182.504,4297.471
62,17,d,7,1,4508.084,4473.660
63,17,e,7,1,10124.163,10147.326
64,17,f,7,1,7687.573,7717.849
65,18,a,7,1,3403.057,2453.793
66,18,b,7,1,551.797,553.408
67,18,c,7,1,5729.857,4770.361
68,19,a,10,1,6075.015,5654.442
69,19,b,10,1,786.468,783.678
70,19,c,10,1,14797.347,13967.016
71,19,d,10,1,98561.291,97691.290
72,20,a,10,1,9200.858,1518.834
73,20,b,10,1,665.818,669.366
74,20,c,10,1,633.701,618.086
75,21,a,9,1,185.762,61.937
76,21,b,9,1,79.364,17.469
77,21,c,9,1,92.584,87.182
78,22,a,11,1,355.473,355.132
79,22,b,11,1,160.529,161.362
80,22,c,11,1,1951.170,1953.830
81,22,d,11,1,688.412,691.766
82,23,a,11,1,496.920,500.138
83,23,b,11,1,231.431,43.382
84,23,c,11,1,513.295,511.758
85,24,a,12,1,219.765,166.574
86,24,b,12,1,54.516,54.832
87,25,a,9,1,14932.130,2027.539
88,25,b,9,1,194.882,193.363
89,25,c,9,1,7060.127,5788.815
90,26,a,12,1,280.973,281.194
91,26,b,12,1,77.369,76.296
92,26,c,12,1,686.199,682.710
93,27,a,12,1,23.803,23.598
94,27,b,12,1,9.561,9.178
95,27,c,12,1,33.711,33.752
96,28,a,14,1,705.959,707.594
97,28,b,14,1,565.043,564.041
98,28,c,14,1,845.941,841.677
99,29,a,17,1,42.394,45.068
100,29,b,17,1,953.841,289.034
101,29,c,17,1,174.766,163.935
102,30,a,12,1,650.263,648.147
103,30,b,12,1,271.721,266.107
104,30,c,12,1,2091.523,2087.863
105,31,a,11,1,1779.245,1778.992
106,31,b,11,1,263.731,265.866
107,31,c,11,1,1798.446,1780.061
108,32,a,6,1,9.295,9.140
109,32,b,6,1,166.305,165.885
110,33,a,14,1,20.982,20.237
111,33,b,14,1,10.473,10.179
112,33,c,14,1,151.235,150.946
