query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,5,1,1388.268,323.398
1,1,b,5,1,1512.522,742.745
2,1,c,5,1,301.000,299.834
3,1,d,5,1,1839.244,1693.420
4,2,a,5,1,6897.216,662.551
5,2,b,5,1,1199.863,647.865
6,2,c,5,1,621.418,621.592
7,2,d,5,1,1759.013,1007.321
8,3,a,4,1,19305.432,154.126
9,3,b,4,1,16859.587,434.411
10,3,c,4,1,437.778,315.656
11,4,a,5,1,805.670,113.850
12,4,b,5,1,90.990,87.360
13,4,c,5,1,126.285,123.378
14,5,a,5,1,334.033,276.808
15,5,b,5,1,276.563,276.747
16,5,c,5,1,5389.764,1368.905
17,6,a,5,1,12650.241,20.747
18,6,b,5,1,8643.895,204.892
19,6,c,5,1,13.965,13.369
20,6,d,5,1,858022.970,8961.875
21,6,e,5,1,21.594,18.635
22,6,f,5,1,9737.324,9950.444
23,7,a,8,1,24009.171,1339.037
24,7,b,8,1,421.986,184.752
25,7,c,8,1,8330.710,3143.575
26,8,a,7,1,19658.124,4217.163
27,8,b,7,1,642.929,606.214
28,8,c,7,1,10254.856,10112.214
29,8,d,7,1,5740.708,6056.653
30,9,a,8,1,4586.797,4169.431
31,9,b,8,1,3612.192,3537.526
32,9,c,8,1,8003.982,4312.127
33,9,d,8,1,36185.915,12113.375
34,10,a,7,1,4116.414,1051.530
35,10,b,7,1,304.871,134.258
36,10,c,7,1,11376.678,10747.192
37,11,a,8,1,83.919,48.903
38,11,b,8,1,40.398,41.057
39,11,c,8,1,2090.954,244.988
40,11,d,8,1,304.983,300.940
41,12,a,8,1,10211.369,820.998
42,12,b,8,1,683.866,596.540
43,12,c,8,1,7836.317,2537.104
44,13,a,9,1,2596.567,1812.713
45,13,b,9,1,403.626,306.310
46,13,c,9,1,228.117,225.230
47,13,d,9,1,6119.326,6074.181
48,14,a,8,1,2273.059,355.967
49,14,b,8,1,123.943,110.855
50,14,c,8,1,1444.015,941.233
51,15,a,9,1,1918.045,969.033
52,15,b,9,1,308.933,44.979
53,15,c,9,1,1574.866,800.586
54,15,d,9,1,1166.725,794.947
55,16,a,8,1,472.501,220.765
56,16,b,8,1,34910.776,33209.572
57,16,c,8,1,3042.593,3050.851
58,16,d,8,1,2446.932,2450.017
59,17,a,7,1,18740.485,18700.108
60,17,b,7,1,14337.561,12200.129
61,17,c,7,1,11695.491,11681.427
62,17,d,7,1,11921.018,11934.944
63,17,e,7,1,20216.423,20268.751
64,17,f,7,1,17789.558,17666.948
65,18,a,7,1,11324.822,8019.565
66,18,b,7,1,857.888,507.474
67,18,c,7,1,14629.104,12721.036
68,19,a,10,1,14430.469,12851.694
69,19,b,10,1,517.192,479.141
70,19,c,10,1,4295.526,4090.786
71,19,d,10,1,18787.762,18202.635
72,20,a,10,1,5311.912,4264.282
73,20,b,10,1,2788.171,2708.221
74,20,c,10,1,1902.233,1544.916
75,21,a,9,1,98.994,77.711
76,21,b,9,1,49.997,48.231
77,21,c,9,1,78.785,77.560
78,22,a,11,1,690.895,596.182
79,22,b,11,1,255.676,250.471
80,22,c,11,1,3672.045,3676.352
81,22,d,11,1,1490.922,1424.554
82,23,a,11,1,575.806,452.199
83,23,b,11,1,339.221,41.166
84,23,c,11,1,1165.489,1146.227
85,24,a,12,1,1004.434,356.782
86,24,b,12,1,92.426,43.549
87,25,a,9,1,8520.542,5781.447
88,25,b,9,1,499.256,320.118
89,25,c,9,1,16164.011,15712.897
90,26,a,12,1,662.654,618.217
91,26,b,12,1,162.978,103.912
92,26,c,12,1,1571.570,1701.750
93,27,a,12,1,71.357,48.589
94,27,b,12,1,63.463,60.491
95,27,c,12,1,64.597,63.565
96,28,a,14,1,1541.506,1422.399
97,28,b,14,1,562.230,527.397
98,28,c,14,1,1494.056,1406.282
99,29,a,17,1,135.309,70.908
100,29,b,17,1,51.709,49.307
101,29,c,17,1,125.854,73.727
102,30,a,12,1,1633.961,1597.302
103,30,b,12,1,590.258,434.794
104,30,c,12,1,5431.153,5460.009
105,31,a,11,1,2005.861,572.917
106,31,b,11,1,751.494,749.490
107,31,c,11,1,606.865,602.921
108,32,a,6,1,34.454,14.836
109,32,b,6,1,502.876,376.493
110,33,a,14,1,263.923,250.383
111,33,b,14,1,88.621,61.016
112,33,c,14,1,14.871,12.807
