query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,0,1,14.801,4.994
0,1,a,1,0,5.170,4.970
0,1,a,2,1,301.690,219.495
0,1,a,3,0,221.932,222.132
0,1,a,4,0,222.882,221.018
0,1,a,5,0,221.598,222.476
1,1,b,0,1,0.394,0.152
1,1,b,1,0,0.143,0.140
1,1,b,2,1,229.239,231.660
1,1,b,3,0,226.936,228.791
1,1,b,4,1,731.397,530.669
1,1,b,5,0,527.459,530.704
2,1,c,0,1,4.459,4.163
2,1,c,1,0,3.795,3.719
2,1,c,2,1,212.674,210.757
2,1,c,3,0,211.714,210.190
2,1,c,4,0,209.540,211.815
2,1,c,5,0,210.535,208.019
3,1,d,0,1,0.264,0.195
3,1,d,1,0,0.162,0.152
3,1,d,2,1,230.217,230.484
3,1,d,3,0,226.625,230.132
3,1,d,4,1,1334.661,1244.544
3,1,d,5,0,1247.084,1253.148
4,2,a,0,1,669.740,433.252
4,2,a,1,0,431.834,429.644
4,2,a,2,0,431.018,430.350
4,2,a,3,0,430.508,429.646
4,2,a,4,0,431.872,430.588
4,2,a,5,0,429.967,430.040
5,2,b,0,1,427.683,423.197
5,2,b,1,0,422.836,423.739
5,2,b,2,0,422.494,427.214
5,2,b,3,0,424.781,424.291
5,2,b,4,0,423.171,421.987
5,2,b,5,0,421.370,422.106
6,2,c,0,1,404.661,403.925
6,2,c,1,0,404.934,404.522
6,2,c,2,0,404.137,404.900
6,2,c,3,0,403.870,402.356
6,2,c,4,0,403.482,405.413
6,2,c,5,0,404.992,403.617
7,2,d,0,1,578.138,540.821
7,2,d,1,0,538.838,537.446
7,2,d,2,0,539.219,542.549
7,2,d,3,1,565.655,564.754
7,2,d,4,0,565.449,570.874
7,2,d,5,0,567.544,563.190
8,3,a,0,1,224.305,107.406
8,3,a,1,0,105.194,107.656
8,3,a,2,0,104.994,104.538
8,3,a,3,0,104.638,103.795
8,3,a,4,0,103.251,101.818
9,3,b,0,1,65.830,64.528
9,3,b,1,0,64.178,64.026
9,3,b,2,0,62.923,63.961
9,3,b,3,1,486.467,191.520
9,3,b,4,0,191.229,191.339
10,3,c,0,1,210.795,207.479
10,3,c,1,0,209.563,209.549
10,3,c,2,0,208.218,206.832
10,3,c,3,0,209.252,210.463
10,3,c,4,0,208.766,205.937
11,4,a,0,1,115.122,73.778
11,4,a,1,0,72.797,72.777
11,4,a,2,0,71.128,71.480
11,4,a,3,0,70.711,70.250
11,4,a,4,0,71.169,70.245
11,4,a,5,0,71.656,71.671
12,4,b,0,1,55.593,54.475
12,4,b,1,1,56.350,56.833
12,4,b,2,0,56.917,56.436
12,4,b,3,0,56.032,55.719
12,4,b,4,0,56.099,55.687
12,4,b,5,0,56.145,56.374
13,4,c,0,1,81.406,80.313
13,4,c,1,0,80.209,79.701
13,4,c,2,0,79.951,81.261
13,4,c,3,0,81.762,80.160
13,4,c,4,0,79.166,78.816
13,4,c,5,0,79.206,78.945
14,5,a,0,1,191.931,191.234
14,5,a,1,1,191.505,190.876
14,5,a,2,0,190.648,191.806
14,5,a,3,0,191.281,191.257
14,5,a,4,0,192.238,191.256
14,5,a,5,0,192.181,191.679
15,5,b,0,1,192.741,192.557
15,5,b,1,1,192.236,192.778
15,5,b,2,0,192.763,192.686
15,5,b,3,0,192.247,192.040
15,5,b,4,0,192.364,192.939
15,5,b,5,0,192.251,192.468
16,5,c,0,1,240.401,209.960
16,5,c,1,0,204.651,212.264
16,5,c,2,1,1062.758,1057.718
16,5,c,3,0,1069.481,1076.707
16,5,c,4,0,1070.627,1076.768
16,5,c,5,0,1075.634,1059.015
17,6,a,0,1,37.736,14.105
17,6,a,1,0,13.566,12.948
17,6,a,2,0,12.112,12.668
17,6,a,3,0,12.228,12.527
17,6,a,4,0,12.123,12.357
17,6,a,5,0,12.304,11.860
18,6,b,0,1,203.391,142.572
18,6,b,1,0,144.260,140.299
18,6,b,2,0,143.230,144.150
18,6,b,3,0,141.023,142.001
18,6,b,4,0,138.706,138.832
18,6,b,5,0,141.822,142.478
19,6,c,0,1,10.219,9.993
19,6,c,1,0,9.509,9.174
19,6,c,2,0,9.317,9.191
19,6,c,3,0,9.281,9.309
19,6,c,4,0,9.147,9.216
19,6,c,5,0,9.106,9.410
20,6,d,0,1,5201.964,3152.188
20,6,d,1,0,3167.196,3176.479
20,6,d,2,0,3183.011,3180.102
20,6,d,3,0,3143.338,3152.973
20,6,d,4,0,3125.779,3125.230
20,6,d,5,0,3093.503,3085.980
21,6,e,0,1,14.073,13.505
21,6,e,1,0,12.681,12.722
21,6,e,2,0,12.779,12.462
21,6,e,3,0,12.253,12.158
21,6,e,4,0,12.572,12.418
21,6,e,5,0,11.624,12.086
22,6,f,0,1,3310.475,3294.171
22,6,f,1,0,3322.349,3326.394
22,6,f,2,0,3313.100,3326.786
22,6,f,3,0,3342.210,3306.656
22,6,f,4,0,3337.596,3320.829
22,6,f,5,0,3307.089,3325.146
23,7,a,0,1,686.162,543.138
23,7,a,1,0,554.259,555.154
23,7,a,2,1,688.114,662.746
23,7,a,3,1,901.890,801.175
23,7,a,4,0,671.456,676.037
23,7,a,5,0,669.220,676.141
23,7,a,6,0,670.372,681.968
23,7,a,7,0,690.663,664.333
23,7,a,8,0,661.986,667.165
24,7,b,0,1,145.205,144.679
24,7,b,1,0,138.628,139.796
24,7,b,2,1,145.053,145.554
24,7,b,3,0,147.540,159.647
24,7,b,4,0,147.231,148.416
24,7,b,5,0,142.277,143.533
24,7,b,6,0,139.644,141.745
24,7,b,7,0,138.477,143.693
24,7,b,8,0,140.908,142.471
25,7,c,0,1,3459.255,2978.423
25,7,c,1,0,2994.636,2961.129
25,7,c,2,1,3104.657,3097.368
25,7,c,3,0,3102.699,3084.565
25,7,c,4,0,3092.439,3084.896
25,7,c,5,1,1594.006,1589.032
25,7,c,6,0,1587.474,1577.984
25,7,c,7,0,1581.330,1589.596
25,7,c,8,0,1587.666,1577.472
26,8,a,0,1,1947.395,1565.749
26,8,a,1,1,1519.078,1536.694
26,8,a,2,0,1549.789,1548.410
26,8,a,3,0,1560.092,1546.502
26,8,a,4,0,1559.885,1548.536
26,8,a,5,0,1555.410,1551.734
26,8,a,6,0,1553.648,1556.705
26,8,a,7,0,1563.673,1551.053
27,8,b,0,1,345.590,337.570
27,8,b,1,1,362.103,360.763
27,8,b,2,0,361.573,361.551
27,8,b,3,0,358.841,357.480
27,8,b,4,0,364.665,363.450
27,8,b,5,0,361.905,358.582
27,8,b,6,0,359.606,358.305
27,8,b,7,0,359.478,362.077
28,8,c,0,1,7775.413,7764.986
28,8,c,1,0,7715.543,7691.209
28,8,c,2,1,7429.328,7440.031
28,8,c,3,0,7416.091,7405.633
28,8,c,4,0,7509.286,7462.966
28,8,c,5,0,7440.020,7532.801
28,8,c,6,0,7544.552,7590.916
28,8,c,7,0,7537.109,7480.032
29,8,d,0,1,4599.806,4594.810
29,8,d,1,0,4590.890,4595.462
29,8,d,2,1,4591.802,4586.422
29,8,d,3,0,4602.216,4585.441
29,8,d,4,0,4595.919,4577.085
29,8,d,5,0,4601.504,4590.887
29,8,d,6,0,4640.509,4630.603
29,8,d,7,0,4611.649,4517.484
30,9,a,0,1,978.323,974.885
30,9,a,1,1,1937.198,1629.848
30,9,a,2,1,2496.410,2508.637
30,9,a,3,0,2509.080,2540.553
30,9,a,4,0,2529.290,2517.089
30,9,a,5,0,2506.203,2528.210
30,9,a,6,0,2524.370,2519.090
30,9,a,7,0,2512.759,2508.646
30,9,a,8,0,2516.700,2497.152
31,9,b,0,1,1702.658,1687.275
31,9,b,1,1,957.241,957.259
31,9,b,2,1,2193.934,2190.711
31,9,b,3,1,2474.211,2483.201
31,9,b,4,1,2183.626,2181.395
31,9,b,5,0,2180.453,2183.902
31,9,b,6,0,2190.670,2203.880
31,9,b,7,0,2188.642,2185.093
31,9,b,8,0,2179.511,2183.345
32,9,c,0,1,1830.288,1795.287
32,9,c,1,0,1801.447,1801.382
32,9,c,2,1,2544.959,2564.873
32,9,c,3,1,2636.854,2618.976
32,9,c,4,0,2553.282,2554.730
