query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,0,1,12.913,5.802
0,1,a,1,0,5.755,5.546
0,1,a,2,1,5.545,5.664
0,1,a,3,1,5.611,5.618
0,1,a,4,0,5.451,5.381
0,1,a,5,0,5.661,5.554
1,1,b,0,1,0.435,0.203
1,1,b,1,0,0.202,0.195
1,1,b,2,0,0.199,0.195
1,1,b,3,0,0.200,0.193
1,1,b,4,0,0.200,0.194
1,1,b,5,0,0.201,0.195
2,1,c,0,1,4.289,4.211
2,1,c,1,0,4.074,3.893
2,1,c,2,1,4.085,3.877
2,1,c,3,1,2.811,1.122
2,1,c,4,0,1.098,1.066
2,1,c,5,0,1.082,1.034
3,1,d,0,1,0.284,0.215
3,1,d,1,0,0.216,0.207
3,1,d,2,0,0.213,0.205
3,1,d,3,0,0.213,0.206
3,1,d,4,1,0.289,0.218
3,1,d,5,0,0.224,0.218
4,2,a,0,1,761.743,479.274
4,2,a,1,0,477.072,475.419
4,2,a,2,1,251.624,251.574
4,2,a,3,0,251.047,251.811
4,2,a,4,0,251.035,250.767
4,2,a,5,0,251.696,250.898
5,2,b,0,1,492.018,469.209
5,2,b,1,0,465.542,466.260
5,2,b,2,1,238.266,238.032
5,2,b,3,0,238.393,237.934
5,2,b,4,0,237.994,238.415
5,2,b,5,0,238.176,237.709
6,2,c,0,1,442.677,443.339
6,2,c,1,0,444.142,442.596
6,2,c,2,1,217.985,217.695
6,2,c,3,0,218.586,217.946
6,2,c,4,0,217.740,218.309
6,2,c,5,0,218.182,218.247
7,2,d,0,1,763.397,632.841
7,2,d,1,0,635.690,637.090
7,2,d,2,1,425.859,423.931
7,2,d,3,0,425.055,424.017
7,2,d,4,1,394.500,394.594
7,2,d,5,0,394.114,395.753
8,3,a,0,1,204.355,112.983
8,3,a,1,0,112.965,112.630
8,3,a,2,0,112.344,112.763
8,3,a,3,0,112.282,112.376
8,3,a,4,0,112.461,112.839
9,3,b,0,1,69.588,69.385
9,3,b,1,0,68.987,69.965
9,3,b,2,0,69.118,68.470
9,3,b,3,0,68.332,68.891
9,3,b,4,0,69.624,68.991
10,3,c,0,1,327.400,218.318
10,3,c,1,0,218.540,218.179
10,3,c,2,0,218.355,218.230
10,3,c,3,0,218.556,218.496
10,3,c,4,0,219.156,218.281
11,4,a,0,1,107.900,78.939
11,4,a,1,0,78.933,79.780
11,4,a,2,0,80.674,79.117
11,4,a,3,0,79.503,78.816
11,4,a,4,1,67.333,67.128
11,4,a,5,0,67.061,67.112
12,4,b,0,1,58.711,58.370
12,4,b,1,0,58.358,58.550
12,4,b,2,1,132.705,100.698
12,4,b,3,0,100.572,100.463
12,4,b,4,0,101.201,100.967
12,4,b,5,0,101.976,100.275
13,4,c,0,1,93.540,92.800
13,4,c,1,0,92.948,93.533
13,4,c,2,0,93.452,92.878
13,4,c,3,0,92.607,92.752
13,4,c,4,1,90.424,89.940
13,4,c,5,0,90.197,90.270
14,5,a,0,1,228.565,197.018
14,5,a,1,0,197.177,198.678
14,5,a,2,1,196.953,196.013
14,5,a,3,0,198.421,196.618
14,5,a,4,0,198.163,196.868
14,5,a,5,0,196.878,198.669
15,5,b,0,1,193.774,191.392
15,5,b,1,0,190.953,192.244
15,5,b,2,1,198.703,197.169
15,5,b,3,0,197.258,197.673
15,5,b,4,0,197.444,196.395
15,5,b,5,0,197.181,196.431
16,5,c,0,1,245.017,213.614
16,5,c,1,0,217.363,218.115
16,5,c,2,1,228.940,229.777
16,5,c,3,0,229.721,229.896
16,5,c,4,0,230.035,228.343
16,5,c,5,0,227.619,229.727
17,6,a,0,1,31.160,13.935
17,6,a,1,0,13.734,13.759
17,6,a,2,0,13.675,13.636
17,6,a,3,0,13.831,13.791
17,6,a,4,0,13.690,13.682
17,6,a,5,0,13.675,13.650
18,6,b,0,1,206.316,152.625
18,6,b,1,0,153.365,154.306
18,6,b,2,0,153.564,155.292
18,6,b,3,0,153.805,153.004
18,6,b,4,0,152.567,152.852
18,6,b,5,0,153.334,152.596
19,6,c,0,1,8.808,8.693
19,6,c,1,0,8.697,8.681
19,6,c,2,0,8.726,8.681
19,6,c,3,0,8.784,8.713
19,6,c,4,0,8.733,8.677
19,6,c,5,0,8.697,8.968
20,6,d,0,1,5192.786,3638.648
20,6,d,1,0,3637.341,3636.926
20,6,d,2,0,3644.391,3637.754
20,6,d,3,1,1790.119,1789.023
20,6,d,4,0,1790.061,1787.131
20,6,d,5,0,1789.088,1787.643
21,6,e,0,1,13.944,13.761
21,6,e,1,0,13.668,13.621
21,6,e,2,0,13.807,13.788
21,6,e,3,0,13.649,13.716
