query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,0,1,12.922,5.685
0,1,a,1,0,5.816,5.646
0,1,a,2,1,5.542,5.562
0,1,a,3,1,5.809,5.768
0,1,a,4,0,5.770,5.726
0,1,a,5,0,5.610,5.577
1,1,b,0,1,0.425,0.198
1,1,b,1,0,0.217,0.192
1,1,b,2,0,0.199,0.190
1,1,b,3,0,0.200,0.189
1,1,b,4,0,0.193,0.190
1,1,b,5,0,0.194,0.193
2,1,c,0,1,4.322,4.051
2,1,c,1,0,4.087,3.924
2,1,c,2,1,4.138,4.009
2,1,c,3,1,2.831,1.122
2,1,c,4,0,1.103,1.040
2,1,c,5,0,1.065,1.027
3,1,d,0,1,0.280,0.210
3,1,d,1,0,0.213,0.204
3,1,d,2,0,0.211,0.217
3,1,d,3,0,0.209,0.202
3,1,d,4,1,0.291,0.214
3,1,d,5,0,0.219,0.212
4,2,a,0,1,760.306,489.069
4,2,a,1,0,487.894,490.001
4,2,a,2,1,252.126,251.029
4,2,a,3,0,251.290,250.776
4,2,a,4,0,250.714,251.273
4,2,a,5,0,250.816,250.498
5,2,b,0,1,503.354,482.703
5,2,b,1,0,480.779,479.845
5,2,b,2,1,237.590,238.113
5,2,b,3,0,237.815,238.146
5,2,b,4,0,237.998,237.807
5,2,b,5,0,237.849,237.682
6,2,c,0,1,455.497,453.393
6,2,c,1,0,453.315,456.888
6,2,c,2,1,218.454,218.448
6,2,c,3,0,218.253,217.931
6,2,c,4,0,218.012,217.783
6,2,c,5,0,218.041,218.101
7,2,d,0,1,764.623,631.115
7,2,d,1,0,631.088,632.317
7,2,d,2,1,422.687,422.450
7,2,d,3,0,422.621,421.859
7,2,d,4,1,392.417,392.856
7,2,d,5,0,396.408,391.783
8,3,a,0,1,202.352,112.532
8,3,a,1,0,112.437,112.366
8,3,a,2,0,112.442,112.094
8,3,a,3,0,112.549,112.218
8,3,a,4,0,112.581,112.596
9,3,b,0,1,69.136,69.087
9,3,b,1,0,68.772,69.787
9,3,b,2,0,69.148,68.294
9,3,b,3,0,68.138,68.582
9,3,b,4,0,68.832,68.640
10,3,c,0,1,327.421,217.935
10,3,c,1,0,217.845,217.607
10,3,c,2,0,217.751,217.844
10,3,c,3,0,218.103,217.732
10,3,c,4,0,217.843,218.116
11,4,a,0,1,109.408,77.635
11,4,a,1,0,78.186,77.498
11,4,a,2,0,78.835,79.970
11,4,a,3,0,79.856,78.262
11,4,a,4,1,67.563,68.374
11,4,a,5,0,68.621,67.951
12,4,b,0,1,58.015,57.963
12,4,b,1,0,58.219,58.550
12,4,b,2,1,132.205,102.679
12,4,b,3,0,99.599,100.419
12,4,b,4,0,101.645,99.224
12,4,b,5,0,100.005,100.089
13,4,c,0,1,93.895,93.465
13,4,c,1,0,93.617,94.072
13,4,c,2,0,93.927,93.876
13,4,c,3,0,94.071,93.620
13,4,c,4,1,91.255,91.084
13,4,c,5,0,90.961,91.337
14,5,a,0,1,227.925,193.102
14,5,a,1,0,190.469,195.400
14,5,a,2,1,190.385,192.098
14,5,a,3,0,190.907,191.392
14,5,a,4,0,191.715,190.681
14,5,a,5,0,192.329,191.800
15,5,b,0,1,188.316,189.277
15,5,b,1,0,188.299,188.672
15,5,b,2,1,189.698,190.887
15,5,b,3,0,189.552,190.770
15,5,b,4,0,189.379,190.676
15,5,b,5,0,191.228,189.471
16,5,c,0,1,245.311,218.088
16,5,c,1,0,220.355,220.782
16,5,c,2,1,220.892,221.653
16,5,c,3,0,221.466,221.528
16,5,c,4,0,219.275,221.559
16,5,c,5,0,224.485,221.659
17,6,a,0,1,30.319,13.526
17,6,a,1,0,13.435,14.299
17,6,a,2,0,13.433,13.405
17,6,a,3,0,13.282,13.145
17,6,a,4,0,13.377,13.273
17,6,a,5,0,13.389,13.337
18,6,b,0,1,208.034,155.462
18,6,b,1,0,156.378,156.278
18,6,b,2,0,156.592,156.817
18,6,b,3,0,156.280,156.478
18,6,b,4,0,155.610,155.191
18,6,b,5,0,155.796,156.108
19,6,c,0,1,8.653,8.537
19,6,c,1,0,8.486,8.461
19,6,c,2,0,8.488,8.442
19,6,c,3,0,8.493,8.455
19,6,c,4,0,8.472,8.549
19,6,c,5,0,8.496,8.478
20,6,d,0,1,5117.606,3559.154
20,6,d,1,0,3567.101,3560.687
20,6,d,2,0,3554.657,3553.026
20,6,d,3,1,1781.617,1773.335
20,6,d,4,0,1773.888,1770.504
20,6,d,5,0,1773.084,1772.864
21,6,e,0,1,13.791,13.436
21,6,e,1,0,13.339,13.218
21,6,e,2,0,13.297,13.336
21,6,e,3,0,13.397,13.278
21,6,e,4,0,13.218,13.229
21,6,e,5,0,13.311,13.146
22,6,f,0,1,3900.928,3896.623
22,6,f,1,0,3895.494,3902.769
22,6,f,2,0,3894.238,3894.003
22,6,f,3,1,3471.359,3468.845
22,6,f,4,0,3463.744,3463.927
22,6,f,5,0,3468.478,3464.761
23,7,a,0,1,736.658,625.401
23,7,a,1,0,637.329,627.331
23,7,a,2,1,781.436,755.010
23,7,a,3,1,265.208,77.678
23,7,a,4,0,77.258,78.261
23,7,a,5,1,76.491,76.148
23,7,a,6,0,75.955,76.025
23,7,a,7,1,75.841,75.260
23,7,a,8,0,75.513,75.629
24,7,b,0,1,163.395,161.286
24,7,b,1,0,161.293,165.282
24,7,b,2,1,169.136,170.253
24,7,b,3,0,170.267,170.030
24,7,b,4,0,161.507,165.037
24,7,b,5,0,169.817,170.051
24,7,b,6,1,165.644,164.989
24,7,b,7,0,165.031,161.289
24,7,b,8,0,165.449,165.030
25,7,c,0,1,3512.822,3268.392
25,7,c,1,0,3269.408,3262.691
25,7,c,2,1,3347.527,3344.952
25,7,c,3,0,3358.081,3359.936
25,7,c,4,1,3468.532,3166.192
25,7,c,5,1,4057.509,4051.326
25,7,c,6,1,3115.836,3121.519
25,7,c,7,0,3148.417,3146.158
25,7,c,8,0,3153.364,3128.449
26,8,a,0,1,1875.365,1611.345
26,8,a,1,0,1612.829,1610.557
26,8,a,2,1,548.898,537.946
26,8,a,3,0,538.372,537.531
26,8,a,4,0,537.920,537.150
26,8,a,5,0,537.237,538.176
26,8,a,6,0,538.244,537.480
26,8,a,7,0,539.086,537.768
27,8,b,0,1,330.779,330.241
27,8,b,1,0,329.602,331.089
27,8,b,2,1,308.144,307.727
27,8,b,3,1,312.566,311.964
27,8,b,4,1,313.292,311.835
27,8,b,5,1,313.349,314.817
27,8,b,6,0,309.433,308.766
27,8,b,7,0,313.549,312.696
28,8,c,0,1,8344.091,8273.596
28,8,c,1,0,8109.369,8109.821
28,8,c,2,0,8232.474,8301.690
28,8,c,3,1,8039.003,8243.838
28,8,c,4,0,8239.585,8041.004
28,8,c,5,0,8227.736,8256.161
28,8,c,6,0,8233.740,8044.196
28,8,c,7,0,8043.274,8239.398
29,8,d,0,1,4967.289,4818.247
29,8,d,1,0,4808.984,4992.756
29,8,d,2,1,3812.146,3890.919
29,8,d,3,1,3732.636,3544.348
29,8,d,4,0,3568.730,3545.409
29,8,d,5,0,3744.248,3800.318
29,8,d,6,0,3547.056,3734.724
29,8,d,7,0,3732.940,3730.334
30,9,a,0,1,753.598,747.746
30,9,a,1,0,747.623,753.106
30,9,a,2,0,743.918,745.318
30,9,a,3,1,746.901,749.590
30,9,a,4,1,749.033,746.243
30,9,a,5,1,748.930,747.978
30,9,a,6,1,745.905,745.312
30,9,a,7,0,746.582,747.865
30,9,a,8,0,744.914,745.730
31,9,b,0,1,1986.007,1739.555
31,9,b,1,0,1755.715,1746.892
31,9,b,2,1,734.929,751.361
31,9,b,3,1,735.252,750.850
31,9,b,4,1,745.209,736.992
31,9,b,5,1,737.733,750.587
31,9,b,6,1,749.562,735.055
31,9,b,7,1,754.863,732.777
31,9,b,8,0,753.555,734.591
32,9,c,0,1,1816.546,1798.351
32,9,c,1,0,1786.868,1789.257
32,9,c,2,1,1970.272,1956.812
32,9,c,3,1,1857.658,1842.366
32,9,c,4,0,1966.393,1962.989
32,9,c,5,0,1965.238,1964.284
32,9,c,6,1,1963.472,1968.377
32,9,c,7,0,1966.664,1966.176
32,9,c,8,0,1983.486,1964.526
33,9,d,0,1,4469.646,4272.813
33,9,d,1,0,4263.275,4270.320
33,9,d,2,1,4461.526,4472.323
33,9,d,3,1,5846.423,5842.635
33,9,d,4,1,6285.238,6208.650
33,9,d,5,1,5459.412,5454.567
33,9,d,6,1,6037.241,6086.285
33,9,d,7,1,6755.070,6885.437
33,9,d,8,0,6776.499,6751.362
34,10,a,0,1,292.591,266.142
34,10,a,1,0,266.665,267.315
34,10,a,2,1,265.732,263.797
34,10,a,3,1,267.517,267.909
34,10,a,4,1,265.827,266.581
34,10,a,5,0,266.998,266.731
34,10,a,6,1,265.946,265.313
34,10,a,7,0,265.774,267.429
35,10,b,0,1,112.491,112.303
35,10,b,1,0,112.364,112.670
35,10,b,2,1,114.878,114.507
35,10,b,3,0,115.355,113.345
35,10,b,4,0,113.900,114.251
35,10,b,5,0,115.613,113.224
35,10,b,6,0,114.308,115.255
35,10,b,7,0,113.386,114.573
36,10,c,0,1,7527.283,7433.082
36,10,c,1,0,7427.001,7404.676
36,10,c,2,1,4507.195,4640.205
36,10,c,3,1,4564.731,4691.829
36,10,c,4,1,4515.143,4644.814
36,10,c,5,1,4518.594,4644.648
36,10,c,6,0,4515.893,4638.261
36,10,c,7,0,4639.614,4513.934
37,11,a,0,1,61.466,60.365
37,11,a,1,0,60.422,60.174
37,11,a,2,1,26.857,26.556
37,11,a,3,1,25.775,25.901
37,11,a,4,1,26.702,26.726
37,11,a,5,1,27.015,27.167
37,11,a,6,0,25.725,25.708
37,11,a,7,0,25.759,25.684
37,11,a,8,0,25.635,25.501
38,11,b,0,1,29.345,28.785
38,11,b,1,0,29.389,28.730
38,11,b,2,1,22.648,22.554
38,11,b,3,0,22.516,22.681
38,11,b,4,0,22.556,22.786
38,11,b,5,0,22.661,22.724
38,11,b,6,1,22.983,22.844
38,11,b,7,1,22.695,22.615
38,11,b,8,0,22.563,22.457
39,11,c,0,1,190.842,171.616
39,11,c,1,0,170.124,169.730
39,11,c,2,1,162.033,158.822
39,11,c,3,1,140.756,140.254
39,11,c,4,1,140.108,139.936
39,11,c,5,1,119.263,119.366
39,11,c,6,0,119.454,119.270
39,11,c,7,0,119.854,119.937
39,11,c,8,0,119.593,120.401
40,11,d,0,1,151.364,147.764
40,11,d,1,0,149.886,150.665
40,11,d,2,1,147.888,147.863
40,11,d,3,1,148.289,147.865
40,11,d,4,1,123.785,122.931
40,11,d,5,1,123.811,121.155
40,11,d,6,0,121.726,121.603
40,11,d,7,0,122.136,121.296
40,11,d,8,0,121.108,122.020
41,12,a,0,1,359.889,306.726
41,12,a,1,0,308.483,307.586
41,12,a,2,1,334.805,332.608
41,12,a,3,1,324.276,306.651
41,12,a,4,1,344.972,343.757
41,12,a,5,1,306.078,307.002
41,12,a,6,0,306.638,306.100
41,12,a,7,1,305.515,305.841
41,12,a,8,0,307.178,305.603
42,12,b,0,1,0.676,0.439
42,12,b,1,0,0.448,0.436
42,12,b,2,1,6.531,6.502
42,12,b,3,0,6.607,6.636
42,12,b,4,1,2.525,2.625
42,12,b,5,1,0.435,0.410
42,12,b,6,1,0.425,0.415
42,12,b,7,1,0.413,0.406
42,12,b,8,0,0.418,0.407
43,12,c,0,1,1507.847,1270.922
43,12,c,1,0,1267.674,1271.388
43,12,c,2,1,1798.334,1811.731
43,12,c,3,0,1789.035,1793.041
43,12,c,4,0,1796.598,1801.956
43,12,c,5,1,1630.188,1560.563
43,12,c,6,0,1564.759,1558.770
43,12,c,7,0,1565.097,1629.785
43,12,c,8,0,1627.028,1626.649
44,13,a,0,1,3383.648,3181.130
44,13,a,1,0,3187.264,3185.622
44,13,a,2,1,1230.596,1214.482
44,13,a,3,1,1337.013,1334.011
44,13,a,4,0,1338.460,1348.995
44,13,a,5,0,1353.374,1335.909
44,13,a,6,0,1343.127,1333.609
44,13,a,7,0,1316.090,1371.320
44,13,a,8,0,1302.632,1343.021
44,13,a,9,0,1347.484,1327.857
45,13,b,0,1,1046.365,1044.232
45,13,b,1,0,1032.016,1044.743
45,13,b,2,1,224.937,214.417
45,13,b,3,0,212.810,215.731
45,13,b,4,0,215.521,214.539
45,13,b,5,0,214.633,215.735
45,13,b,6,1,210.930,210.498
45,13,b,7,0,212.094,211.621
45,13,b,8,0,212.803,212.638
45,13,b,9,0,211.661,212.419
46,13,c,0,1,980.987,970.661
46,13,c,1,0,991.056,995.642
46,13,c,2,1,153.875,152.768
46,13,c,3,0,152.890,153.107
46,13,c,4,0,152.830,153.001
46,13,c,5,0,152.663,152.260
46,13,c,6,1,151.982,152.004
46,13,c,7,0,152.994,152.718
46,13,c,8,0,152.021,152.307
46,13,c,9,0,151.693,153.382
47,13,d,0,1,5765.156,5374.026
47,13,d,1,0,5388.998,5365.951
47,13,d,2,1,4848.565,4910.051
47,13,d,3,1,10890.836,10748.332
47,13,d,4,1,4340.875,4341.523
47,13,d,5,1,4426.538,4437.860
47,13,d,6,0,4427.967,4448.351
47,13,d,7,0,4449.196,4432.339
47,13,d,8,1,3883.191,3774.962
47,13,d,9,0,3764.927,3766.322
48,14,a,0,1,223.263,215.046
48,14,a,1,0,215.331,215.010
48,14,a,2,1,212.591,212.519
48,14,a,3,0,212.665,211.627
48,14,a,4,1,271.761,271.777
48,14,a,5,0,212.484,212.664
48,14,a,6,0,212.500,212.433
48,14,a,7,0,212.575,212.188
48,14,a,8,0,212.608,212.190
49,14,b,0,1,80.320,80.862
49,14,b,1,0,79.058,78.560
49,14,b,2,1,79.254,78.730
49,14,b,3,1,78.073,78.193
49,14,b,4,0,78.626,78.709
49,14,b,5,0,77.903,78.496
49,14,b,6,0,78.473,77.980
49,14,b,7,0,78.664,78.970
49,14,b,8,0,78.451,78.341
50,14,c,0,1,438.856,436.320
50,14,c,1,0,436.331,436.069
50,14,c,2,1,522.024,520.839
50,14,c,3,1,423.655,424.267
50,14,c,4,0,423.687,424.053
50,14,c,5,0,424.099,424.076
50,14,c,6,0,424.263,424.647
50,14,c,7,0,423.885,423.975
50,14,c,8,0,424.198,424.028
51,15,a,0,1,596.257,590.506
51,15,a,1,0,597.040,592.816
51,15,a,2,1,605.498,609.264
51,15,a,3,0,609.274,611.734
51,15,a,4,1,603.134,602.447
51,15,a,5,1,604.295,604.688
51,15,a,6,1,610.183,611.833
51,15,a,7,0,603.379,607.403
51,15,a,8,0,607.904,602.425
51,15,a,9,0,602.465,605.510
52,15,b,0,1,26.555,26.339
