query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,0,1,586.853,5.959
0,1,a,1,1,6.393,6.220
0,1,a,2,1,8.308,5.932
0,1,a,3,0,6.226,5.941
0,1,a,4,0,5.992,5.713
0,1,a,5,0,5.419,5.397
1,1,b,0,1,1.757,0.214
1,1,b,1,1,0.258,0.216
1,1,b,2,0,0.261,0.219
1,1,b,3,0,0.261,0.213
1,1,b,4,0,0.243,0.203
1,1,b,5,0,0.204,0.197
2,1,c,0,1,2.259,1.205
2,1,c,1,1,1.370,1.209
2,1,c,2,1,1.433,1.178
2,1,c,3,1,1.369,1.159
2,1,c,4,0,1.335,1.155
2,1,c,5,0,0.971,0.979
3,1,d,0,1,0.291,0.220
3,1,d,1,1,0.278,0.206
3,1,d,2,0,0.276,0.211
3,1,d,3,0,0.272,0.207
3,1,d,4,0,0.275,0.190
3,1,d,5,0,0.199,0.187
4,2,a,0,1,3106.694,446.447
4,2,a,1,1,554.475,546.982
4,2,a,2,0,550.770,552.263
4,2,a,3,0,559.251,547.073
4,2,a,4,0,548.788,543.724
4,2,a,5,0,544.528,552.844
5,2,b,0,1,435.118,442.754
5,2,b,1,1,539.200,545.045
5,2,b,2,0,538.723,547.437
5,2,b,3,0,539.700,532.994
5,2,b,4,0,539.403,537.714
5,2,b,5,0,546.214,549.322
6,2,c,0,1,425.028,412.310
6,2,c,1,1,516.588,519.443
6,2,c,2,1,21.970,20.975
6,2,c,3,0,21.028,20.921
6,2,c,4,0,21.213,21.397
6,2,c,5,0,21.211,20.834
7,2,d,0,1,567.371,564.216
7,2,d,1,1,665.342,664.024
7,2,d,2,1,712.900,705.731
7,2,d,3,0,703.311,696.122
7,2,d,4,0,673.906,665.109
7,2,d,5,0,682.797,682.346
8,3,a,0,1,8063.121,106.405
8,3,a,1,1,117.506,114.411
8,3,a,2,0,118.430,118.189
8,3,a,3,0,116.250,117.391
8,3,a,4,0,114.629,113.333
9,3,b,0,1,61.876,61.211
9,3,b,1,1,69.989,68.222
9,3,b,2,0,72.499,68.137
9,3,b,3,0,72.046,70.523
9,3,b,4,0,74.866,72.941
10,3,c,0,1,236.780,205.562
10,3,c,1,1,240.932,237.006
10,3,c,2,0,239.955,237.784
10,3,c,3,0,237.658,240.438
10,3,c,4,0,240.350,235.651
