query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,0,1,10.323,5.985
0,1,a,1,1,5.540,5.477
0,1,a,2,1,5.543,5.491
0,1,a,3,1,5.341,5.287
0,1,a,4,0,5.289,5.111
0,1,a,5,0,5.232,5.026
1,1,b,0,1,0.331,0.223
1,1,b,1,1,0.194,0.192
1,1,b,2,1,0.309,0.242
1,1,b,3,0,0.237,0.233
1,1,b,4,0,0.237,0.233
1,1,b,5,0,0.235,0.236
2,1,c,0,1,4.421,4.268
2,1,c,1,1,4.041,3.959
2,1,c,2,1,3.796,3.879
2,1,c,3,1,2.098,1.145
2,1,c,4,0,0.996,0.962
2,1,c,5,0,0.951,0.935
3,1,d,0,1,0.237,0.224
3,1,d,1,1,0.195,0.192
3,1,d,2,1,0.272,0.263
3,1,d,3,0,0.263,0.262
3,1,d,4,0,0.260,0.276
3,1,d,5,0,0.260,0.258
4,2,a,0,1,466.999,441.481
4,2,a,1,0,440.738,441.913
4,2,a,2,1,221.512,222.864
4,2,a,3,0,218.674,219.563
4,2,a,4,0,219.557,218.791
4,2,a,5,0,219.880,221.628
5,2,b,0,1,438.942,437.333
5,2,b,1,0,434.287,435.774
5,2,b,2,1,208.681,206.056
5,2,b,3,0,203.734,205.559
5,2,b,4,0,206.395,208.285
5,2,b,5,0,207.254,209.178
6,2,c,0,1,418.848,416.642
6,2,c,1,0,418.455,412.228
6,2,c,2,1,23.707,23.046
6,2,c,3,0,23.387,23.313
6,2,c,4,0,23.078,23.145
6,2,c,5,0,23.093,23.197
7,2,d,0,1,543.308,536.801
7,2,d,1,0,536.907,526.021
7,2,d,2,1,355.833,352.805
7,2,d,3,0,352.311,350.704
7,2,d,4,1,324.156,327.561
7,2,d,5,0,324.181,325.286
8,3,a,0,1,127.330,102.294
8,3,a,1,0,100.008,98.580
8,3,a,2,0,98.097,97.907
8,3,a,3,0,97.313,96.235
8,3,a,4,0,96.329,96.159
9,3,b,0,1,61.086,60.744
9,3,b,1,0,59.374,59.742
9,3,b,2,0,59.089,58.807
9,3,b,3,0,58.658,59.014
9,3,b,4,0,58.674,58.269
10,3,c,0,1,217.391,200.499
10,3,c,1,0,198.420,197.712
10,3,c,2,0,195.930,197.134
10,3,c,3,0,197.066,197.058
10,3,c,4,0,197.796,195.548
11,4,a,0,1,75.017,70.203
11,4,a,1,1,1335.123,1198.544
11,4,a,2,0,74.938,70.873
11,4,a,3,0,69.117,69.387
11,4,a,4,1,60.075,57.874
11,4,a,5,0,57.982,57.652
12,4,b,0,1,53.472,52.555
12,4,b,1,1,101.397,100.484
12,4,b,2,0,100.363,100.441
12,4,b,3,0,100.442,99.893
