query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,0,1,19.522,7.772
0,1,a,1,0,7.682,7.693
0,1,a,2,1,7.836,7.725
0,1,a,3,0,7.731,7.741
0,1,a,4,0,7.693,7.768
0,1,a,5,0,7.703,7.684
1,1,b,0,1,103.140,0.260
1,1,b,1,0,0.255,0.275
1,1,b,2,0,0.254,0.253
1,1,b,3,0,0.253,0.252
1,1,b,4,0,0.253,0.253
1,1,b,5,0,0.253,0.254
2,1,c,0,1,5.540,5.503
2,1,c,1,0,5.505,5.514
2,1,c,2,1,5.478,5.467
2,1,c,3,1,686.875,1.155
2,1,c,4,0,1.162,1.148
2,1,c,5,0,1.162,1.150
3,1,d,0,1,28.587,0.293
3,1,d,1,0,0.274,0.272
3,1,d,2,0,0.273,0.272
3,1,d,3,0,0.281,0.272
3,1,d,4,1,22.886,0.292
3,1,d,5,0,0.287,0.286
4,2,a,0,1,12900.215,635.834
4,2,a,1,0,634.432,634.347
4,2,a,2,1,316.512,316.400
4,2,a,3,0,316.223,316.211
4,2,a,4,0,316.356,316.665
4,2,a,5,0,316.379,316.476
5,2,b,0,1,3546.597,622.398
5,2,b,1,0,622.346,622.418
5,2,b,2,1,300.385,301.024
5,2,b,3,0,300.941,301.679
5,2,b,4,0,301.180,301.360
5,2,b,5,0,301.274,301.749
6,2,c,0,1,595.278,594.378
6,2,c,1,0,594.215,594.037
6,2,c,2,1,108.062,34.439
6,2,c,3,0,34.374,34.394
6,2,c,4,0,34.651,34.342
6,2,c,5,0,34.371,34.329
7,2,d,0,1,11825.691,1040.804
7,2,d,1,0,1010.031,1008.220
7,2,d,2,1,717.444,717.101
7,2,d,3,0,722.849,722.479
7,2,d,4,1,698.223,690.843
7,2,d,5,0,685.636,691.743
8,3,a,0,1,19734.036,145.892
8,3,a,1,0,143.984,143.828
8,3,a,2,0,143.793,143.557
8,3,a,3,0,143.356,143.513
8,3,a,4,0,143.666,143.279
9,3,b,0,1,89.385,87.382
9,3,b,1,0,87.213,87.344
9,3,b,2,0,87.260,87.208
9,3,b,3,0,87.567,87.162
9,3,b,4,0,87.330,87.162
10,3,c,0,1,17483.736,318.469
10,3,c,1,0,293.286,293.225
10,3,c,2,0,292.865,292.551
10,3,c,3,0,292.682,292.872
10,3,c,4,0,292.353,291.993
11,4,a,0,1,760.347,119.502
11,4,a,1,1,7995.351,2296.540
11,4,a,2,0,148.901,111.095
11,4,a,3,0,108.419,107.845
11,4,a,4,1,89.582,87.122
11,4,a,5,0,89.054,89.387
12,4,b,0,1,83.560,81.877
12,4,b,1,1,250.784,180.306
12,4,b,2,0,180.297,180.216
12,4,b,3,0,180.285,180.656
12,4,b,4,0,180.217,180.376
12,4,b,5,0,180.267,180.419
13,4,c,0,1,126.436,123.027
13,4,c,1,0,123.324,122.783
13,4,c,2,0,122.757,122.643
13,4,c,3,0,123.121,122.792
13,4,c,4,1,116.313,115.590
13,4,c,5,0,115.846,115.575
14,5,a,0,1,375.873,277.883
14,5,a,1,1,276.514,276.461
14,5,a,2,1,276.066,275.877
14,5,a,3,0,276.221,276.147
14,5,a,4,0,276.123,276.137
14,5,a,5,0,276.318,275.944
15,5,b,0,1,277.528,277.423
15,5,b,1,1,275.923,275.822
15,5,b,2,1,275.889,275.719
15,5,b,3,0,275.850,276.095
15,5,b,4,0,275.880,276.029
15,5,b,5,0,275.628,275.927
16,5,c,0,1,8195.432,311.171
16,5,c,1,0,311.292,312.241
16,5,c,2,1,312.053,311.829
16,5,c,3,0,311.846,312.298
16,5,c,4,0,311.999,311.736
16,5,c,5,0,311.844,311.733
17,6,a,0,1,12584.343,20.150
17,6,a,1,0,18.215,18.152
17,6,a,2,0,18.165,18.163
17,6,a,3,0,18.178,18.154
17,6,a,4,0,18.225,18.195
17,6,a,5,0,18.191,18.150
18,6,b,0,1,3453.985,280.385
18,6,b,1,0,193.858,192.967
18,6,b,2,0,193.378,192.789
18,6,b,3,0,192.851,192.617
18,6,b,4,0,192.807,193.227
18,6,b,5,0,192.958,192.524
19,6,c,0,1,13.979,13.360
19,6,c,1,0,13.370,13.335
19,6,c,2,0,13.343,13.328
19,6,c,3,0,13.365,13.430
19,6,c,4,0,13.378,13.365
19,6,c,5,0,13.359,13.335
20,6,d,0,1,853824.726,8546.374
20,6,d,1,0,8507.650,8492.072
20,6,d,2,0,8531.338,8531.772
20,6,d,3,1,990.344,893.419
20,6,d,4,0,891.908,891.784
20,6,d,5,0,892.030,891.784
21,6,e,0,1,21.562,18.168
21,6,e,1,0,18.144,18.169
21,6,e,2,0,18.171,18.121
21,6,e,3,0,18.153,18.157
21,6,e,4,0,18.105,18.104
21,6,e,5,0,18.177,18.197
22,6,f,0,1,9416.507,9411.785
22,6,f,1,0,9414.138,9416.205
22,6,f,2,0,9401.293,9411.678
22,6,f,3,1,6189.810,6163.648
22,6,f,4,0,6163.574,6244.331
22,6,f,5,0,6167.901,6165.015
23,7,a,0,1,19426.084,1118.725
23,7,a,1,0,1118.476,1127.936
23,7,a,2,1,3171.120,1299.633
23,7,a,3,1,3088.837,212.090
23,7,a,4,0,90.418,90.757
23,7,a,5,1,146.593,86.651
23,7,a,6,0,86.737,86.606
23,7,a,7,1,85.961,85.755
23,7,a,8,0,85.777,86.139
24,7,b,0,1,363.653,196.482
24,7,b,1,0,162.044,169.995
24,7,b,2,1,179.044,176.774
24,7,b,3,0,177.149,176.050
24,7,b,4,0,160.810,169.726
24,7,b,5,0,175.505,175.435
24,7,b,6,1,170.401,170.473
24,7,b,7,0,173.009,162.128
24,7,b,8,0,170.070,170.582
25,7,c,0,1,6334.509,5366.032
25,7,c,1,0,5471.961,5370.828
25,7,c,2,1,5244.028,5238.338
25,7,c,3,0,5243.287,5301.291
25,7,c,4,1,34291.859,5634.135
25,7,c,5,1,7095.255,7045.993
25,7,c,6,1,5599.133,5550.555
25,7,c,7,0,5549.046,5585.317
25,7,c,8,0,5548.629,5548.550
26,8,a,0,1,9372.639,3983.127
26,8,a,1,1,3963.503,3961.639
26,8,a,2,1,2236.845,2107.071
26,8,a,3,1,2036.178,2024.095
26,8,a,4,0,2023.127,2024.076
26,8,a,5,1,4681.799,1163.123
26,8,a,6,0,1162.635,1162.383
26,8,a,7,0,1161.794,1162.254
27,8,b,0,1,649.160,611.857
27,8,b,1,1,637.586,629.980
27,8,b,2,1,452.003,451.965
27,8,b,3,1,450.879,450.826
27,8,b,4,1,450.390,450.613
27,8,b,5,0,450.489,450.544
27,8,b,6,0,450.317,450.590
27,8,b,7,0,450.352,450.792
28,8,c,0,1,10005.454,9964.303
28,8,c,1,0,9879.939,9884.601
28,8,c,2,0,10358.499,9821.266
28,8,c,3,1,9843.244,9840.997
28,8,c,4,0,9827.187,9922.741
28,8,c,5,0,9843.638,9823.606
28,8,c,6,0,10351.596,10238.684
28,8,c,7,0,9818.630,9846.491
29,8,d,0,1,5786.558,5715.888
29,8,d,1,0,5719.342,5718.186
29,8,d,2,1,4610.650,4810.701
29,8,d,3,1,4661.010,4742.704
29,8,d,4,0,4414.566,4404.518
29,8,d,5,0,4399.980,4482.831
29,8,d,6,0,4637.406,4675.116
29,8,d,7,0,4622.899,4627.979
30,9,a,0,1,2886.184,1069.939
30,9,a,1,1,1471.938,1474.518
30,9,a,2,0,1474.212,1475.861
30,9,a,3,0,1474.736,1475.951
30,9,a,4,1,1788.010,1473.692
30,9,a,5,1,1476.360,1477.002
30,9,a,6,1,1474.394,1471.549
30,9,a,7,0,1474.505,1475.058
30,9,a,8,0,1467.429,1470.266
31,9,b,0,1,1046.745,1054.299
31,9,b,1,1,1458.250,1465.728
