query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,0,1,199.284,191.440
0,1,a,1,0,191.852,192.065
0,1,a,2,1,191.365,191.803
0,1,a,3,0,192.232,192.514
0,1,a,4,0,191.287,191.830
0,1,a,5,0,190.704,191.827
1,1,b,0,1,187.622,187.517
1,1,b,1,0,188.798,187.937
1,1,b,2,1,186.921,186.783
1,1,b,3,0,187.373,187.778
1,1,b,4,0,187.853,187.509
1,1,b,5,0,187.466,187.499
2,1,c,0,1,192.963,191.641
2,1,c,1,0,191.300,191.896
2,1,c,2,1,190.523,190.295
2,1,c,3,1,187.430,187.840
2,1,c,4,0,187.580,187.511
2,1,c,5,0,187.918,188.790
3,1,d,0,1,187.785,187.627
3,1,d,1,0,188.110,187.346
3,1,d,2,1,188.898,188.155
3,1,d,3,0,189.172,188.709
3,1,d,4,0,187.896,189.172
3,1,d,5,0,188.499,189.128
4,2,a,0,1,1062.127,1024.803
4,2,a,1,0,1021.814,1021.188
4,2,a,2,1,787.116,787.103
4,2,a,3,0,787.890,786.652
4,2,a,4,0,787.275,788.282
4,2,a,5,0,787.401,787.318
5,2,b,0,1,987.153,867.705
5,2,b,1,0,865.091,867.773
5,2,b,2,1,772.376,770.726
5,2,b,3,0,771.850,770.456
5,2,b,4,0,772.347,772.428
5,2,b,5,0,772.175,772.190
6,2,c,0,1,30.032,29.791
6,2,c,1,1,21.390,21.418
6,2,c,2,0,21.365,22.308
6,2,c,3,0,21.999,21.105
6,2,c,4,0,21.359,21.157
6,2,c,5,0,21.147,21.002
7,2,d,0,1,1286.201,1142.981
7,2,d,1,0,1140.715,1142.350
7,2,d,2,1,945.437,946.852
7,2,d,3,0,945.995,945.841
7,2,d,4,1,925.671,926.408
7,2,d,5,0,924.819,925.349
8,3,a,0,1,791.219,688.252
8,3,a,1,0,689.748,688.332
8,3,a,2,0,689.360,688.331
8,3,a,3,0,688.600,688.211
8,3,a,4,0,688.432,687.829
9,3,b,0,1,652.779,652.558
9,3,b,1,0,651.919,652.857
9,3,b,2,0,652.396,652.435
9,3,b,3,0,651.849,652.226
9,3,b,4,0,652.399,652.277
10,3,c,0,1,933.574,796.291
10,3,c,1,0,797.650,797.467
10,3,c,2,0,797.303,795.622
10,3,c,3,0,795.854,798.849
10,3,c,4,0,801.397,798.423
11,4,a,0,1,1448.063,1317.078
11,4,a,1,0,1320.607,1320.221
11,4,a,2,1,714.184,681.858
11,4,a,3,0,684.606,683.772
11,4,a,4,1,665.414,672.330
11,4,a,5,0,668.009,666.469
12,4,b,0,1,175.853,175.094
12,4,b,1,0,174.139,172.787
12,4,b,2,0,173.550,173.480
12,4,b,3,0,173.432,173.031
12,4,b,4,0,173.434,175.129
12,4,b,5,0,175.223,175.165
13,4,c,0,1,2210.601,2204.654
13,4,c,1,0,2205.668,2205.202
13,4,c,2,1,692.877,692.163
13,4,c,3,0,694.229,691.398
13,4,c,4,1,684.132,687.943
13,4,c,5,0,686.111,681.548
14,5,a,0,1,206.507,171.132
14,5,a,1,0,173.159,171.898
14,5,a,2,0,171.856,171.205
14,5,a,3,0,171.217,170.885
14,5,a,4,0,171.392,171.374
14,5,a,5,0,171.111,170.964
15,5,b,0,1,170.482,170.267
15,5,b,1,0,171.226,170.476
15,5,b,2,0,171.105,170.388
15,5,b,3,0,171.549,170.708
15,5,b,4,0,170.482,170.831
15,5,b,5,0,170.241,170.574
16,5,c,0,1,226.218,196.436
16,5,c,1,0,197.823,195.146
16,5,c,2,1,196.218,195.704
16,5,c,3,0,193.538,194.132
16,5,c,4,0,193.009,194.147
16,5,c,5,0,192.832,194.664
17,6,a,0,1,1131.351,604.770
17,6,a,1,1,808.415,486.757
17,6,a,2,0,481.100,492.974
17,6,a,3,0,493.177,466.701
17,6,a,4,0,483.918,490.553
17,6,a,5,0,492.403,489.438
18,6,b,0,1,339.170,227.177
18,6,b,1,0,227.925,227.475
18,6,b,2,0,227.561,226.910
18,6,b,3,0,228.476,226.670
18,6,b,4,0,228.396,227.013
18,6,b,5,0,228.686,226.777
19,6,c,0,1,221.231,220.147
19,6,c,1,0,221.244,220.886
19,6,c,2,0,220.210,222.536
19,6,c,3,0,220.486,222.062
19,6,c,4,0,220.471,222.555
19,6,c,5,0,221.050,220.413
20,6,d,0,1,82347.546,3224.128
20,6,d,1,1,502.384,487.802
20,6,d,2,0,501.075,503.007
20,6,d,3,0,500.120,485.993
20,6,d,4,0,498.846,491.911
20,6,d,5,0,473.631,483.343
21,6,e,0,1,605.265,603.219
21,6,e,1,1,476.988,478.178
21,6,e,2,0,476.414,486.785
21,6,e,3,0,497.607,475.610
21,6,e,4,0,480.021,465.966
21,6,e,5,0,486.708,487.067
22,6,f,0,1,3536.859,3634.563
22,6,f,1,0,3590.868,3521.730
22,6,f,2,0,3516.978,3518.525
22,6,f,3,1,3197.528,3203.604
22,6,f,4,0,3195.339,3199.260
22,6,f,5,0,3198.724,3227.871
23,7,a,0,1,2750.208,545.961
23,7,a,1,0,570.967,563.220
23,7,a,2,1,1806.908,667.845
23,7,a,3,0,682.594,678.889
23,7,a,4,1,543.842,254.834
23,7,a,5,1,265.176,254.516
23,7,a,6,0,257.386,256.967
23,7,a,7,1,253.843,254.045
23,7,a,8,0,252.924,252.838
24,7,b,0,1,139.316,139.068
24,7,b,1,0,136.193,135.383
24,7,b,2,1,140.336,136.983
24,7,b,3,0,136.863,138.731
24,7,b,4,0,132.546,136.137
24,7,b,5,0,140.542,137.988
24,7,b,6,1,135.586,132.084
24,7,b,7,0,135.382,132.939
24,7,b,8,0,135.234,132.594
25,7,c,0,1,5209.691,3189.452
25,7,c,1,0,3179.218,3192.617
25,7,c,2,1,3198.854,3210.344
25,7,c,3,1,3193.965,3186.874
25,7,c,4,1,10770.685,3280.289
25,7,c,5,0,3275.539,3325.426
25,7,c,6,1,2438.042,2294.495
25,7,c,7,0,2272.369,2282.673
25,7,c,8,0,2280.998,2274.592
26,8,a,0,1,7263.782,1490.821
26,8,a,1,0,1505.283,1499.029
26,8,a,2,1,2074.826,1259.332
26,8,a,3,1,1204.855,1203.489
26,8,a,4,0,1225.443,1232.092
26,8,a,5,1,1343.683,695.592
26,8,a,6,0,674.775,686.947
26,8,a,7,0,697.099,694.892
27,8,b,0,1,329.450,329.101
27,8,b,1,1,340.301,338.784
27,8,b,2,1,261.935,259.313
27,8,b,3,0,261.448,261.106
27,8,b,4,1,258.210,258.926
27,8,b,5,0,259.283,259.580
27,8,b,6,0,257.797,259.431
27,8,b,7,0,262.019,260.377
28,8,c,0,1,7467.975,7335.533
28,8,c,1,0,7364.078,7347.665
28,8,c,2,0,7077.278,7057.289
28,8,c,3,1,7115.947,7206.526
28,8,c,4,0,7399.889,7388.742
28,8,c,5,0,7411.221,7406.738
28,8,c,6,0,7442.211,7454.209
28,8,c,7,0,7304.878,7277.692
29,8,d,0,1,4482.253,4427.793
29,8,d,1,0,4425.546,4430.070
29,8,d,2,1,3455.408,3442.875
29,8,d,3,1,3381.979,3374.447
29,8,d,4,0,3345.036,3405.567
29,8,d,5,0,3442.721,3472.462
29,8,d,6,0,3475.738,3479.931
29,8,d,7,0,3473.608,3477.670
30,9,a,0,1,1069.828,601.943
30,9,a,1,1,927.870,932.316
30,9,a,2,0,925.684,928.785
30,9,a,3,0,925.945,921.513
30,9,a,4,1,977.926,921.124
30,9,a,5,1,929.980,907.282
30,9,a,6,1,893.051,887.886
30,9,a,7,0,899.765,909.582
30,9,a,8,0,915.073,914.751
31,9,b,0,1,597.402,588.500
31,9,b,1,1,889.273,888.015
31,9,b,2,0,900.612,897.978
31,9,b,3,0,876.611,871.542
31,9,b,4,1,893.425,858.408
31,9,b,5,1,926.229,929.068
31,9,b,6,1,932.461,933.319
31,9,b,7,1,904.887,903.260
31,9,b,8,0,901.596,915.024
32,9,c,0,1,3154.104,1770.384
32,9,c,1,0,1806.522,1806.856
32,9,c,2,1,1976.933,1977.199
32,9,c,3,1,1956.088,1958.239
32,9,c,4,0,1950.632,1955.948
32,9,c,5,0,1959.212,1961.464
32,9,c,6,1,1962.623,1946.799
32,9,c,7,0,1928.952,1940.455
32,9,c,8,0,1947.420,1925.890
33,9,d,0,1,13204.660,4057.675
33,9,d,1,1,4987.431,4985.045
33,9,d,2,1,4301.520,4333.868
33,9,d,3,1,4005.072,4000.742
33,9,d,4,1,4426.042,4424.776
33,9,d,5,1,5320.632,5286.662
33,9,d,6,1,6242.419,5698.670
33,9,d,7,1,6356.334,6351.530
33,9,d,8,0,6402.130,6390.676
34,10,a,0,1,769.243,280.229
34,10,a,1,0,277.454,279.491
34,10,a,2,0,280.607,279.243
34,10,a,3,1,285.932,286.697
34,10,a,4,1,277.430,278.310
34,10,a,5,0,276.670,279.377
34,10,a,6,0,277.906,272.915
34,10,a,7,0,271.748,271.743
35,10,b,0,1,109.393,109.346
35,10,b,1,0,109.568,107.233
35,10,b,2,0,109.125,110.669
35,10,b,3,0,110.145,109.779
35,10,b,4,0,111.720,108.293
35,10,b,5,0,109.017,109.002
35,10,b,6,0,110.563,109.757
35,10,b,7,0,111.859,109.553
36,10,c,0,1,7732.245,6296.138
36,10,c,1,0,6278.888,6254.300
