query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,0,1,12.671,5.764
0,1,a,1,0,5.724,5.655
0,1,a,2,1,5.694,5.685
0,1,a,3,0,5.712,5.671
0,1,a,4,0,5.684,5.652
0,1,a,5,0,5.680,5.649
1,1,b,0,1,0.429,0.199
1,1,b,1,0,0.198,0.196
1,1,b,2,0,0.197,0.205
1,1,b,3,0,0.197,0.190
1,1,b,4,0,0.200,0.193
1,1,b,5,0,0.196,0.191
2,1,c,0,1,4.372,4.216
2,1,c,1,0,4.230,4.198
2,1,c,2,1,4.166,4.168
2,1,c,3,1,2.829,1.133
2,1,c,4,0,1.079,1.019
2,1,c,5,0,1.052,1.030
3,1,d,0,1,0.271,0.208
3,1,d,1,0,0.211,0.204
3,1,d,2,0,0.209,0.202
3,1,d,3,0,0.210,0.202
3,1,d,4,1,0.281,0.214
3,1,d,5,0,0.218,0.212
4,2,a,0,1,750.313,464.240
4,2,a,1,0,463.068,462.889
4,2,a,2,1,234.285,233.276
4,2,a,3,0,234.075,232.892
4,2,a,4,0,235.805,236.025
4,2,a,5,0,234.701,233.805
5,2,b,0,1,470.686,455.642
5,2,b,1,0,456.940,456.146
5,2,b,2,1,220.855,222.107
5,2,b,3,0,222.567,221.749
5,2,b,4,0,220.509,221.520
5,2,b,5,0,221.290,221.847
6,2,c,0,1,439.107,439.090
6,2,c,1,0,437.007,437.826
6,2,c,2,1,21.815,21.839
6,2,c,3,0,21.793,21.813
6,2,c,4,0,21.719,21.745
6,2,c,5,0,21.715,21.848
7,2,d,0,1,746.285,571.791
7,2,d,1,0,571.215,574.014
7,2,d,2,1,392.644,390.977
7,2,d,3,0,391.497,391.626
7,2,d,4,1,363.552,362.711
7,2,d,5,0,364.819,363.470
8,3,a,0,1,200.355,110.118
8,3,a,1,0,109.765,109.590
8,3,a,2,0,109.992,110.450
8,3,a,3,0,108.952,109.450
8,3,a,4,0,110.800,110.262
9,3,b,0,1,69.529,68.543
9,3,b,1,0,69.492,69.368
9,3,b,2,0,69.059,70.172
9,3,b,3,0,69.244,68.441
9,3,b,4,0,69.439,69.149
10,3,c,0,1,324.915,214.423
10,3,c,1,0,214.631,214.012
10,3,c,2,0,214.264,213.585
10,3,c,3,0,213.686,213.094
10,3,c,4,0,213.605,214.879
11,4,a,0,1,108.006,77.363
11,4,a,1,1,1649.601,1313.591
11,4,a,2,0,77.801,77.437
11,4,a,3,0,77.120,76.707
