query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,0,1,12.613,5.952
0,1,a,1,0,5.768,5.520
0,1,a,2,1,5.772,5.658
0,1,a,3,0,5.707,5.632
0,1,a,4,0,5.704,5.599
0,1,a,5,0,5.729,5.673
1,1,b,0,1,0.415,0.195
1,1,b,1,0,0.195,0.187
1,1,b,2,0,0.212,0.192
1,1,b,3,0,0.196,0.189
1,1,b,4,0,0.201,0.189
1,1,b,5,0,0.194,0.187
2,1,c,0,1,4.379,4.261
2,1,c,1,0,4.276,4.227
2,1,c,2,1,4.246,4.233
2,1,c,3,1,2.790,1.104
2,1,c,4,0,1.075,1.015
2,1,c,5,0,1.034,0.999
3,1,d,0,1,0.271,0.207
3,1,d,1,0,0.213,0.204
3,1,d,2,0,0.212,0.203
3,1,d,3,0,0.208,0.203
3,1,d,4,1,0.279,0.210
3,1,d,5,0,0.215,0.209
4,2,a,0,1,753.736,458.700
4,2,a,1,0,458.129,458.575
4,2,a,2,1,228.391,227.962
4,2,a,3,0,228.547,228.274
4,2,a,4,0,228.092,228.860
4,2,a,5,0,228.224,227.639
5,2,b,0,1,461.307,450.904
5,2,b,1,0,450.778,451.005
5,2,b,2,1,217.725,219.064
5,2,b,3,0,216.429,215.935
5,2,b,4,0,218.247,215.097
5,2,b,5,0,215.666,217.315
6,2,c,0,1,433.810,433.144
6,2,c,1,0,433.950,434.422
6,2,c,2,1,21.938,21.923
6,2,c,3,0,21.805,21.734
6,2,c,4,0,21.817,21.745
6,2,c,5,0,21.735,21.907
7,2,d,0,1,725.332,566.344
7,2,d,1,0,565.660,565.237
7,2,d,2,1,386.535,385.381
7,2,d,3,0,387.260,382.490
7,2,d,4,1,357.818,358.317
7,2,d,5,0,357.417,359.067
8,3,a,0,1,200.365,108.706
8,3,a,1,0,109.373,110.061
8,3,a,2,0,109.771,109.562
8,3,a,3,0,108.710,109.590
8,3,a,4,0,110.405,110.513
9,3,b,0,1,69.163,68.942
9,3,b,1,0,69.061,69.171
9,3,b,2,0,68.176,68.266
9,3,b,3,0,68.973,69.102
9,3,b,4,0,69.175,68.934
10,3,c,0,1,325.071,213.218
10,3,c,1,0,213.174,213.045
10,3,c,2,0,212.506,210.931
10,3,c,3,0,213.188,212.552
10,3,c,4,0,214.134,212.785
11,4,a,0,1,108.541,76.130
11,4,a,1,1,1652.369,1375.597
11,4,a,2,0,76.302,76.543
11,4,a,3,0,76.778,76.506
11,4,a,4,1,65.536,64.725
11,4,a,5,0,65.471,65.408
12,4,b,0,1,57.138,56.427
12,4,b,1,1,104.833,102.989
12,4,b,2,0,103.058,102.945
12,4,b,3,0,103.371,103.405
12,4,b,4,0,103.902,102.683
12,4,b,5,0,103.960,104.014
13,4,c,0,1,86.584,85.595
13,4,c,1,0,86.062,86.044
13,4,c,2,0,85.946,85.763
13,4,c,3,0,86.365,86.267
13,4,c,4,1,82.699,83.354
13,4,c,5,0,82.837,83.284
14,5,a,0,1,230.925,203.374
14,5,a,1,1,202.096,202.796
14,5,a,2,1,203.445,203.106
14,5,a,3,0,203.696,203.212
14,5,a,4,0,203.144,204.091
14,5,a,5,0,204.025,203.232
15,5,b,0,1,195.715,195.862
15,5,b,1,1,194.908,195.965
15,5,b,2,1,201.511,202.922
15,5,b,3,0,202.046,202.341
15,5,b,4,0,201.993,200.466
15,5,b,5,0,201.973,202.390
16,5,c,0,1,257.191,232.139
16,5,c,1,0,232.993,233.096
16,5,c,2,1,228.635,227.400
16,5,c,3,0,229.664,228.210
16,5,c,4,0,227.854,228.835
16,5,c,5,0,228.902,228.874
17,6,a,0,1,30.181,13.129
17,6,a,1,0,13.188,13.075
17,6,a,2,0,13.039,13.065
17,6,a,3,0,13.231,13.130
17,6,a,4,0,13.110,13.011
17,6,a,5,0,13.068,12.921
18,6,b,0,1,171.068,150.649
18,6,b,1,0,152.402,151.729
18,6,b,2,0,151.521,152.296
18,6,b,3,0,150.367,152.592
18,6,b,4,0,151.232,151.992
18,6,b,5,0,151.555,151.663
19,6,c,0,1,8.666,8.531
19,6,c,1,0,8.512,8.510
19,6,c,2,0,8.474,8.442
19,6,c,3,0,8.453,8.458
19,6,c,4,0,8.499,8.456
19,6,c,5,0,8.487,8.429
20,6,d,0,1,4888.038,3469.240
20,6,d,1,0,3456.601,3452.907
20,6,d,2,0,3458.069,3473.571
20,6,d,3,1,506.347,490.474
20,6,d,4,0,490.679,491.502
20,6,d,5,0,490.373,490.508
21,6,e,0,1,13.482,13.161
21,6,e,1,0,13.263,13.096
21,6,e,2,0,13.242,13.044
21,6,e,3,0,13.234,13.486
21,6,e,4,0,13.279,13.193
21,6,e,5,0,13.418,13.192
22,6,f,0,1,3667.943,3663.929
22,6,f,1,0,3666.934,3667.077
22,6,f,2,0,3665.828,3664.782
22,6,f,3,1,3440.374,3439.168
22,6,f,4,0,3442.529,3444.573
22,6,f,5,0,3443.819,3443.362
23,7,a,0,1,729.149,625.755
23,7,a,1,0,621.570,628.178
23,7,a,2,1,767.600,735.346
23,7,a,3,1,265.760,80.313
23,7,a,4,0,79.564,81.318
23,7,a,5,1,79.081,77.984
23,7,a,6,0,78.453,78.458
23,7,a,7,1,78.340,77.842
23,7,a,8,0,77.716,78.334
24,7,b,0,1,164.747,165.455
24,7,b,1,0,162.781,166.542
24,7,b,2,1,170.620,170.533
24,7,b,3,0,170.522,171.339
24,7,b,4,0,163.453,168.076
24,7,b,5,0,172.387,170.426
24,7,b,6,1,165.783,166.137
24,7,b,7,0,166.187,162.181
24,7,b,8,0,166.301,165.501
25,7,c,0,1,3390.483,3199.806
25,7,c,1,0,3202.968,3199.224
25,7,c,2,1,3281.960,3263.631
25,7,c,3,0,3284.561,3227.610
25,7,c,4,1,3216.481,3070.336
25,7,c,5,1,3951.474,3982.216
25,7,c,6,1,3136.187,3142.834
25,7,c,7,0,3153.903,3112.186
25,7,c,8,0,3161.714,3184.898
26,8,a,0,1,1846.013,1606.465
26,8,a,1,0,1612.476,1619.611
26,8,a,2,1,1443.724,1256.936
26,8,a,3,1,1228.279,1222.123
26,8,a,4,0,1213.168,1221.369
26,8,a,5,1,719.755,710.590
26,8,a,6,0,710.276,710.640
26,8,a,7,0,711.833,710.236
27,8,b,0,1,327.384,328.358
27,8,b,1,1,339.081,339.017
27,8,b,2,1,254.911,254.432
27,8,b,3,1,253.679,253.963
27,8,b,4,1,261.344,261.207
27,8,b,5,0,261.204,260.763
27,8,b,6,0,261.634,261.448
27,8,b,7,0,261.720,261.379
28,8,c,0,1,8408.915,8393.837
28,8,c,1,0,8394.521,8390.459
28,8,c,2,0,8357.624,8356.984
28,8,c,3,1,8422.662,8434.548
28,8,c,4,0,8342.952,8363.958
28,8,c,5,0,8358.176,8369.638
28,8,c,6,0,8365.723,8287.780
28,8,c,7,0,8362.685,8363.602
29,8,d,0,1,5066.088,5116.170
29,8,d,1,0,5099.625,5021.058
29,8,d,2,1,3785.658,3787.920
29,8,d,3,1,3696.146,3662.263
29,8,d,4,0,3732.416,3623.393
29,8,d,5,0,3731.191,3700.015
29,8,d,6,0,3729.594,3672.809
29,8,d,7,0,3726.683,3631.804
30,9,a,0,1,737.348,730.662
30,9,a,1,1,874.028,910.276
30,9,a,2,0,873.490,873.915
30,9,a,3,0,892.583,908.870
30,9,a,4,1,873.572,910.163
30,9,a,5,1,872.966,909.043
30,9,a,6,1,910.247,909.896
30,9,a,7,0,877.059,873.743
30,9,a,8,0,911.358,906.056
31,9,b,0,1,1690.515,1686.696
31,9,b,1,1,904.720,906.247
31,9,b,2,0,904.087,909.717
31,9,b,3,1,868.141,904.339
31,9,b,4,1,903.918,903.494
31,9,b,5,1,867.514,903.891
31,9,b,6,1,870.008,904.911
31,9,b,7,1,903.378,902.684
31,9,b,8,0,862.948,868.542
32,9,c,0,1,1784.779,1749.303
32,9,c,1,0,1756.201,1746.672
32,9,c,2,1,1903.133,1907.274
32,9,c,3,1,1905.549,1880.437
32,9,c,4,0,1897.395,1881.435
32,9,c,5,0,1894.558,1884.182
32,9,c,6,1,1895.377,1893.778
32,9,c,7,0,1877.599,1905.566
32,9,c,8,0,1894.543,1872.217
33,9,d,0,1,4234.226,3973.149
33,9,d,1,0,4015.933,3987.787
33,9,d,2,1,4247.312,4246.579
33,9,d,3,1,5729.563,5727.567
33,9,d,4,1,6305.757,6204.192
33,9,d,5,1,5446.038,5406.286
33,9,d,6,1,5897.298,5855.787
33,9,d,7,1,6833.853,6729.151
33,9,d,8,0,6865.094,6828.444
34,10,a,0,1,287.545,262.974
34,10,a,1,1,261.360,262.834
34,10,a,2,0,262.157,263.024
34,10,a,3,1,266.409,265.684
34,10,a,4,1,262.816,262.803
34,10,a,5,0,263.506,262.657
34,10,a,6,0,262.745,262.095
34,10,a,7,0,262.023,262.798
35,10,b,0,1,109.694,110.203
35,10,b,1,0,110.663,110.183
35,10,b,2,1,110.456,110.998
35,10,b,3,0,110.585,109.909
35,10,b,4,0,110.076,110.331
35,10,b,5,0,110.341,109.632
35,10,b,6,0,109.976,109.774
35,10,b,7,0,110.912,110.376
36,10,c,0,1,7546.549,7343.259
36,10,c,1,1,6025.301,6161.235
36,10,c,2,1,4600.717,4598.978
36,10,c,3,1,4569.001,4625.734
36,10,c,4,1,4584.667,4582.019
36,10,c,5,1,4583.736,4585.573
36,10,c,6,0,4599.794,4598.469
36,10,c,7,0,4601.776,4604.664
37,11,a,0,1,59.725,59.846
37,11,a,1,1,30.661,30.681
37,11,a,2,1,25.813,25.598
37,11,a,3,1,24.352,24.276
37,11,a,4,1,24.281,24.400
37,11,a,5,1,25.925,25.763
37,11,a,6,0,24.347,24.485
37,11,a,7,0,24.249,24.262
37,11,a,8,0,24.678,24.187
38,11,b,0,1,29.136,28.793
38,11,b,1,0,29.299,28.711
38,11,b,2,1,21.697,21.524
38,11,b,3,0,21.547,21.694
38,11,b,4,0,22.159,21.860
38,11,b,5,0,21.728,21.331
38,11,b,6,1,21.741,21.783
38,11,b,7,1,21.570,21.469
38,11,b,8,0,21.580,22.435
39,11,c,0,1,171.008,162.797
39,11,c,1,0,161.871,161.500
39,11,c,2,1,161.523,159.243
39,11,c,3,1,138.683,136.183
39,11,c,4,1,116.122,116.556
39,11,c,5,1,115.129,120.450
39,11,c,6,0,115.587,115.416
39,11,c,7,0,115.391,114.912
39,11,c,8,0,114.937,115.147
40,11,d,0,1,148.701,151.395
40,11,d,1,0,152.874,147.832
40,11,d,2,1,143.675,144.836
40,11,d,3,1,143.946,149.157
40,11,d,4,1,120.201,117.780
40,11,d,5,1,117.874,116.528
40,11,d,6,0,117.636,116.708
40,11,d,7,0,121.754,120.653
40,11,d,8,0,116.770,116.716
41,12,a,0,1,353.924,299.323
41,12,a,1,0,296.852,297.789
41,12,a,2,1,326.782,323.056
41,12,a,3,1,314.203,299.786
41,12,a,4,1,339.952,336.126
41,12,a,5,1,299.273,298.170
41,12,a,6,0,297.188,296.035
41,12,a,7,1,297.529,299.684
41,12,a,8,0,296.129,299.140
42,12,b,0,1,0.649,0.430
42,12,b,1,1,0.416,0.405
42,12,b,2,1,6.455,6.313
42,12,b,3,1,6.507,6.440
42,12,b,4,1,0.409,0.396
42,12,b,5,0,0.413,0.400
42,12,b,6,0,0.417,0.405
42,12,b,7,1,0.410,0.400
42,12,b,8,0,0.410,0.402
43,12,c,0,1,1449.254,1181.440
43,12,c,1,0,1171.020,1170.382
43,12,c,2,1,1763.612,1788.151
43,12,c,3,0,1776.823,1740.195
43,12,c,4,0,1745.451,1734.126
43,12,c,5,1,1571.191,1543.691
43,12,c,6,0,1583.007,1587.761
43,12,c,7,0,1607.856,1570.656
43,12,c,8,0,1522.362,1602.862
44,13,a,0,1,3132.881,2948.312
44,13,a,1,0,2940.601,2952.124
44,13,a,2,1,1174.406,1144.216
44,13,a,3,1,1296.673,1302.959
44,13,a,4,0,1324.904,1284.256
44,13,a,5,0,1287.758,1314.749
44,13,a,6,0,1316.426,1285.605
44,13,a,7,0,1325.326,1286.574
44,13,a,8,0,1309.783,1289.651
44,13,a,9,0,1283.566,1305.696
45,13,b,0,1,1055.266,1057.060
45,13,b,1,1,1045.985,1043.732
45,13,b,2,1,223.964,213.367
45,13,b,3,1,214.983,214.494
45,13,b,4,0,212.570,212.864
45,13,b,5,0,213.588,212.501
45,13,b,6,0,213.329,212.567
45,13,b,7,0,212.881,213.554
45,13,b,8,0,213.045,213.606
45,13,b,9,0,213.541,213.491
46,13,c,0,1,1004.556,1007.134
46,13,c,1,1,1002.576,1010.896
46,13,c,2,1,152.832,152.784
46,13,c,3,0,152.886,152.967
46,13,c,4,0,153.087,153.847
46,13,c,5,0,152.934,153.376
46,13,c,6,1,152.883,152.744
46,13,c,7,0,152.568,152.464
46,13,c,8,0,152.349,152.606
46,13,c,9,0,152.576,152.803
47,13,d,0,1,5441.318,5108.444
47,13,d,1,0,5117.163,5121.714
47,13,d,2,1,4666.819,4668.510
47,13,d,3,1,10274.837,10149.745
47,13,d,4,1,4238.573,4238.986
47,13,d,5,1,4434.957,4441.873
47,13,d,6,0,4455.354,4442.378
47,13,d,7,0,4457.783,4437.821
47,13,d,8,1,3918.722,3748.195
47,13,d,9,0,3761.031,3715.703
48,14,a,0,1,210.728,204.020
48,14,a,1,0,204.246,204.687
48,14,a,2,1,200.291,201.919
48,14,a,3,0,200.870,203.075
48,14,a,4,1,255.778,255.502
48,14,a,5,0,202.112,202.490
48,14,a,6,0,201.224,201.324
48,14,a,7,0,201.660,201.271
48,14,a,8,0,200.536,201.102
49,14,b,0,1,79.619,80.068
49,14,b,1,0,79.415,80.606
49,14,b,2,1,80.039,79.974
49,14,b,3,1,79.935,80.523
49,14,b,4,0,79.424,79.194
49,14,b,5,0,80.547,79.579
49,14,b,6,0,79.436,79.762
49,14,b,7,0,79.719,80.047
49,14,b,8,0,79.248,79.271
50,14,c,0,1,427.133,424.518
50,14,c,1,0,424.513,424.782
50,14,c,2,1,504.610,500.958
50,14,c,3,1,413.426,415.042
50,14,c,4,0,412.252,412.304
50,14,c,5,0,414.100,413.893
50,14,c,6,0,413.803,414.737
50,14,c,7,0,414.925,414.491
50,14,c,8,0,414.029,414.653
51,15,a,0,1,605.452,597.437
