query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,0,1,7.737,5.893
0,1,a,1,0,5.393,5.288
0,1,a,2,1,5.164,5.127
0,1,a,3,0,5.302,5.341
0,1,a,4,0,5.323,5.272
0,1,a,5,0,5.220,5.353
1,1,b,0,1,0.270,0.199
1,1,b,1,0,0.189,0.206
1,1,b,2,1,0.231,0.227
1,1,b,3,0,0.224,0.231
1,1,b,4,0,0.227,0.228
1,1,b,5,0,0.223,0.227
2,1,c,0,1,1.485,1.119
2,1,c,1,0,1.010,0.926
2,1,c,2,0,0.911,0.913
2,1,c,3,0,0.913,0.877
2,1,c,4,0,0.887,0.861
2,1,c,5,0,0.863,0.856
3,1,d,0,1,0.242,0.215
3,1,d,1,0,0.223,0.215
3,1,d,2,1,0.269,0.246
3,1,d,3,0,0.269,0.246
3,1,d,4,0,0.264,0.246
3,1,d,5,0,0.263,0.244
4,2,a,0,1,502.868,473.522
4,2,a,1,0,471.965,460.255
4,2,a,2,1,267.265,268.625
4,2,a,3,0,269.800,267.968
4,2,a,4,0,269.051,268.489
4,2,a,5,0,269.358,269.065
5,2,b,0,1,453.563,447.375
5,2,b,1,0,446.878,445.874
5,2,b,2,1,258.387,254.470
5,2,b,3,0,255.983,255.477
5,2,b,4,0,255.410,255.753
5,2,b,5,0,254.766,255.001
6,2,c,0,1,425.379,421.906
6,2,c,1,0,421.390,421.879
6,2,c,2,1,22.462,22.440
6,2,c,3,0,22.051,21.584
6,2,c,4,0,21.879,21.260
6,2,c,5,0,21.140,21.009
7,2,d,0,1,573.195,563.604
7,2,d,1,0,563.216,564.409
7,2,d,2,1,466.239,467.903
7,2,d,3,1,598.600,596.307
7,2,d,4,0,579.362,579.261
7,2,d,5,0,581.104,583.291
8,3,a,0,1,114.426,107.480
8,3,a,1,0,107.920,108.230
8,3,a,2,0,108.030,108.090
8,3,a,3,0,107.869,107.587
8,3,a,4,0,109.231,108.786
9,3,b,0,1,65.617,65.659
9,3,b,1,0,65.178,64.694
9,3,b,2,0,65.039,65.936
9,3,b,3,0,64.946,65.712
9,3,b,4,0,65.542,65.663
10,3,c,0,1,222.890,212.674
10,3,c,1,0,213.889,214.887
10,3,c,2,0,213.792,213.584
10,3,c,3,0,212.699,214.123
10,3,c,4,0,212.680,212.907
11,4,a,0,1,70.915,67.056
11,4,a,1,0,66.435,66.345
11,4,a,2,1,65.576,64.425
11,4,a,3,0,65.392,66.068
11,4,a,4,1,64.438,64.824
11,4,a,5,0,63.787,63.604
12,4,b,0,1,60.047,59.068
12,4,b,1,0,58.023,58.762
12,4,b,2,0,58.131,59.043
12,4,b,3,0,58.686,58.245
12,4,b,4,0,57.542,58.382
12,4,b,5,0,58.884,58.846
13,4,c,0,1,93.877,92.473
13,4,c,1,1,83.026,83.404
13,4,c,2,1,86.583,85.354
13,4,c,3,0,85.555,85.905
13,4,c,4,0,86.561,86.500
13,4,c,5,0,87.123,85.752
14,5,a,0,1,196.346,192.394
14,5,a,1,0,193.063,193.616
14,5,a,2,1,193.057,193.254
14,5,a,3,0,193.949,193.536
14,5,a,4,0,193.058,193.000
14,5,a,5,0,193.412,193.577
15,5,b,0,1,192.159,193.536
15,5,b,1,0,193.169,192.882
15,5,b,2,1,193.094,193.785
15,5,b,3,0,192.650,192.897
15,5,b,4,0,192.789,193.624
15,5,b,5,0,193.354,192.626
16,5,c,0,1,486.139,471.764
16,5,c,1,1,218.930,219.362
16,5,c,2,0,219.504,219.108
16,5,c,3,0,220.480,220.033
16,5,c,4,0,219.876,218.924
16,5,c,5,0,219.686,219.754
17,6,a,0,1,16.025,13.040
17,6,a,1,0,13.337,13.118
17,6,a,2,0,13.341,13.027
17,6,a,3,0,12.962,12.502
17,6,a,4,0,12.914,12.569
17,6,a,5,0,12.882,12.547
18,6,b,0,1,150.224,140.138
18,6,b,1,0,137.812,142.385
18,6,b,2,0,145.551,143.738
18,6,b,3,0,143.543,143.010
18,6,b,4,0,144.595,144.761
18,6,b,5,0,145.200,144.474
19,6,c,0,1,9.290,9.191
19,6,c,1,0,9.031,8.956
19,6,c,2,0,9.047,8.468
19,6,c,3,0,9.005,8.879
19,6,c,4,0,8.655,9.169
19,6,c,5,0,8.882,9.099
20,6,d,0,1,3404.052,3032.763
20,6,d,1,0,3044.095,3042.780
20,6,d,2,0,3172.652,3337.374
20,6,d,3,0,3312.924,3291.014
20,6,d,4,0,3271.184,3308.486
20,6,d,5,0,3302.322,3052.227
21,6,e,0,1,12.223,11.442
21,6,e,1,0,11.070,10.967
21,6,e,2,0,11.124,11.215
21,6,e,3,0,11.255,11.270
21,6,e,4,0,11.166,11.168
21,6,e,5,0,11.140,11.193
22,6,f,0,1,3601.182,3610.829
22,6,f,1,0,3595.639,3602.989
22,6,f,2,0,3606.391,3571.099
22,6,f,3,0,3642.232,3608.046
22,6,f,4,0,3400.302,3522.150
22,6,f,5,0,3902.409,3856.841
23,7,a,0,1,667.024,654.489
23,7,a,1,0,653.874,661.595
23,7,a,2,1,778.216,779.652
23,7,a,3,1,75.817,58.575
23,7,a,4,1,64.424,63.660
23,7,a,5,1,61.580,61.255
23,7,a,6,0,62.388,61.332
23,7,a,7,0,62.400,61.292
23,7,a,8,0,62.726,61.333
24,7,b,0,1,168.103,167.066
24,7,b,1,0,167.916,171.004
24,7,b,2,1,173.751,171.612
24,7,b,3,0,172.203,172.348
24,7,b,4,0,174.379,172.565
24,7,b,5,0,172.363,171.855
24,7,b,6,1,163.106,163.617
24,7,b,7,0,169.183,164.863
24,7,b,8,0,168.014,163.652
25,7,c,0,1,6139.485,6180.590
25,7,c,1,0,6186.515,6187.664
25,7,c,2,0,6186.903,6149.312
25,7,c,3,0,6102.691,6106.989
25,7,c,4,1,2264.168,2225.947
25,7,c,5,0,2178.745,2131.756
25,7,c,6,1,2014.460,2043.007
25,7,c,7,0,2010.751,2013.062
25,7,c,8,0,2014.188,2016.999
26,8,a,0,1,1459.475,1430.141
26,8,a,1,1,1431.232,1430.089
26,8,a,2,0,1430.799,1427.834
