query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,2,1,1305.923,8.451
1,1,b,2,1,17.452,0.263
2,1,c,2,1,5.681,5.523
3,1,d,2,1,0.775,0.276
4,2,a,2,1,3224.651,686.390
5,2,b,2,1,985.878,693.409
6,2,c,2,1,641.433,641.139
7,2,d,2,1,2145.453,1123.272
8,3,a,2,1,1804.778,165.629
9,3,b,2,1,99.947,97.487
10,3,c,2,1,1994.525,347.374
11,4,a,2,1,264.737,120.706
12,4,b,2,1,90.245,91.193
13,4,c,2,1,135.273,138.033
14,5,a,2,1,358.765,281.248
15,5,b,2,1,282.532,282.656
16,5,c,2,1,988.212,318.595
17,6,a,2,1,1981.849,22.084
18,6,b,2,1,1273.484,226.236
19,6,c,2,1,14.014,13.405
20,6,d,2,1,33839.444,10300.860
21,6,e,2,1,22.545,18.891
22,6,f,2,1,11230.794,11291.988
23,7,a,2,1,3745.198,1334.516
24,7,b,2,1,317.924,195.078
25,7,c,2,1,6943.345,5637.033
26,8,a,2,1,10407.730,4559.053
27,8,b,2,1,650.722,596.335
28,8,c,2,1,11280.466,10380.666
29,8,d,2,1,6059.772,6113.902
30,9,a,2,1,2634.998,1444.184
31,9,b,2,1,4238.227,2829.418
32,9,c,2,1,4720.097,3055.720
33,9,d,2,1,11284.874,8481.504
34,10,a,2,1,2656.236,757.331
35,10,b,2,1,241.545,136.272
36,10,c,2,1,14577.028,11067.852
37,11,a,2,1,137.141,93.336
38,11,b,2,1,41.670,39.621
39,11,c,2,1,382.181,340.245
40,11,d,2,1,246.911,223.189
41,12,a,2,1,1677.995,591.346
42,12,b,2,1,2.483,0.484
43,12,c,2,1,4255.980,2568.154
44,13,a,2,1,5145.178,4919.393
45,13,b,2,1,1812.943,1632.933
46,13,c,2,1,1560.536,1565.383
47,13,d,2,1,8270.463,8271.040
48,14,a,2,1,596.953,385.278
49,14,b,2,1,138.501,122.809
50,14,c,2,1,1239.121,1024.803
51,15,a,2,1,1764.700,982.639
52,15,b,2,1,47.314,42.119
53,15,c,2,1,1975.656,945.262
54,15,d,2,1,1660.975,1300.667
55,16,a,2,1,409.337,195.806
56,16,b,2,1,36517.455,34622.231
57,16,c,2,1,3017.748,3026.281
58,16,d,2,1,2437.792,2432.554
59,17,a,2,1,20091.452,20004.146
60,17,b,2,1,15511.784,14592.232
61,17,c,2,1,13733.298,13513.650
62,17,d,2,1,13892.663,13729.206
63,17,e,2,1,21596.806,21599.342
64,17,f,2,1,19632.184,19535.580
65,18,a,2,1,18321.142,16728.140
66,18,b,2,1,597.268,547.850
67,18,c,2,1,23998.825,18662.536
68,19,a,2,1,13577.855,12581.520
69,19,b,2,1,500.626,491.969
70,19,c,2,1,3216.575,3182.941
71,19,d,2,1,24960.711,24938.445
72,20,a,2,1,6012.395,4903.416
73,20,b,2,1,3632.889,3645.283
74,20,c,2,1,2236.082,2141.463
75,21,a,2,1,124.308,104.260
76,21,b,2,1,96.494,93.347
77,21,c,2,1,102.131,107.132
78,22,a,2,1,678.659,631.249
79,22,b,2,1,268.816,284.798
80,22,c,2,1,3157.285,3125.268
81,22,d,2,1,1522.437,1570.466
82,23,a,2,1,627.515,448.644
83,23,b,2,1,158.185,65.808
84,23,c,2,1,631.250,624.634
85,24,a,2,1,387.098,190.281
86,24,b,2,1,63.889,45.967
87,25,a,2,1,6262.067,6215.574
88,25,b,2,1,530.351,343.771
89,25,c,2,1,16326.159,16059.751
90,26,a,2,1,2320.191,2361.466
91,26,b,2,1,229.550,191.651
92,26,c,2,1,2235.047,2246.033
93,27,a,2,1,38.256,36.231
94,27,b,2,1,34.366,18.593
95,27,c,2,1,66.520,52.308
96,28,a,2,1,1142.074,992.944
97,28,b,2,1,771.009,719.007
98,28,c,2,1,1248.253,1167.304
99,29,a,2,1,910.708,211.765
100,29,b,2,1,19.365,19.229
101,29,c,2,1,203.181,188.945
102,30,a,2,1,1891.532,1847.991
103,30,b,2,1,641.297,478.826
104,30,c,2,1,5488.617,5587.949
105,31,a,2,1,4934.428,4549.986
106,31,b,2,1,863.369,650.446
107,31,c,2,1,4472.884,4179.229
108,32,a,2,1,35.672,28.955
109,32,b,2,1,335.082,162.460
110,33,a,2,1,126.843,74.808
111,33,b,2,1,62.195,62.124
112,33,c,2,1,174.405,130.234
