query_index, query_name, num_tables, perfect_estimates, new_plan, execution_time1, execution_time2
0,1,a,2,1,17.401,7.952
1,1,b,2,1,0.580,0.254
2,1,c,2,1,5.626,5.539
3,1,d,2,1,0.341,0.271
4,2,a,2,1,1101.540,652.043
5,2,b,2,1,662.711,674.184
6,2,c,2,1,655.208,653.755
7,2,d,2,1,1016.201,1099.268
8,3,a,2,1,235.092,153.590
9,3,b,2,1,91.952,89.426
10,3,c,2,1,401.694,334.777
11,4,a,2,1,113.085,101.170
12,4,b,2,1,118.163,92.612
13,4,c,2,1,136.039,135.484
14,5,a,2,1,353.823,282.195
15,5,b,2,1,282.772,283.288
16,5,c,2,1,1475.540,1437.754
17,6,a,2,1,41.363,21.489
18,6,b,2,1,377.776,232.601
19,6,c,2,1,14.287,13.473
20,6,d,2,1,11109.964,11066.123
21,6,e,2,1,23.195,18.919
22,6,f,2,1,11757.970,11904.867
23,7,a,2,1,1517.446,1405.861
24,7,b,2,1,331.463,203.908
25,7,c,2,1,5660.357,5662.232
26,8,a,2,1,4890.966,4830.306
27,8,b,2,1,639.724,612.026
28,8,c,2,1,10260.535,10332.265
29,8,d,2,1,4811.964,4749.970
30,9,a,2,1,1091.098,1085.293
31,9,b,2,1,1067.535,1068.720
32,9,c,2,1,3463.351,3435.022
33,9,d,2,1,8885.599,8805.916
34,10,a,2,1,937.760,833.630
35,10,b,2,1,264.900,147.388
36,10,c,2,1,11509.581,11516.536
37,11,a,2,1,133.051,84.783
38,11,b,2,1,40.333,39.084
39,11,c,2,1,325.766,258.114
40,11,d,2,1,236.364,225.514
41,12,a,2,1,755.977,651.302
42,12,b,2,1,10.365,9.986
43,12,c,2,1,3107.525,3183.710
44,13,a,2,1,2038.015,1997.869
45,13,b,2,1,382.682,346.458
46,13,c,2,1,259.479,259.664
47,13,d,2,1,6485.299,6490.516
48,14,a,2,1,628.394,500.179
49,14,b,2,1,129.596,124.711
50,14,c,2,1,1232.267,1211.675
51,15,a,2,1,1207.075,1055.656
52,15,b,2,1,52.730,45.809
53,15,c,2,1,938.811,910.076
54,15,d,2,1,889.321,867.334
55,16,a,2,1,404.366,251.971
56,16,b,2,1,35521.717,35165.567
57,16,c,2,1,3130.644,3145.809
58,16,d,2,1,2520.383,2515.386
59,17,a,2,1,20773.161,20755.295
60,17,b,2,1,15322.097,15253.457
61,17,c,2,1,14599.636,14583.012
62,17,d,2,1,14925.311,14926.100
63,17,e,2,1,22299.119,22311.349
64,17,f,2,1,20624.323,20794.918
65,18,a,2,1,10102.813,10080.940
66,18,b,2,1,641.857,593.962
67,18,c,2,1,15430.953,15492.597
68,19,a,2,1,1091.298,1084.469
69,19,b,2,1,502.665,503.235
70,19,c,2,1,3521.684,3504.628
71,19,d,2,1,24385.892,24272.720
72,20,a,2,1,6247.958,6191.861
73,20,b,2,1,4196.621,4145.985
74,20,c,2,1,2480.071,2448.307
75,21,a,2,1,145.399,112.271
76,21,b,2,1,87.537,87.081
77,21,c,2,1,99.303,98.160
78,22,a,2,1,1017.344,915.520
79,22,b,2,1,293.636,274.609
80,22,c,2,1,3297.039,3312.880
81,22,d,2,1,5874.077,5895.409
82,23,a,2,1,371.345,254.359
83,23,b,2,1,84.854,69.935
84,23,c,2,1,691.484,702.034
85,24,a,2,1,929.392,706.688
86,24,b,2,1,58.648,50.186
87,25,a,2,1,6824.927,6826.693
88,25,b,2,1,597.170,354.654
89,25,c,2,1,18944.561,19057.518
90,26,a,2,1,2667.320,2595.882
91,26,b,2,1,257.207,191.154
92,26,c,2,1,1988.753,2090.744
93,27,a,2,1,129.019,90.343
94,27,b,2,1,45.163,41.010
95,27,c,2,1,185.469,180.102
96,28,a,2,1,711.040,526.482
97,28,b,2,1,556.038,423.272
98,28,c,2,1,651.663,618.371
99,29,a,2,1,126.773,83.717
100,29,b,2,1,121.941,57.402
101,29,c,2,1,654.721,645.788
102,30,a,2,1,7699.794,7699.895
103,30,b,2,1,743.175,475.744
104,30,c,2,1,18652.071,18753.653
105,31,a,2,1,3717.225,3560.231
106,31,b,2,1,798.983,516.798
107,31,c,2,1,3781.848,3644.841
108,32,a,2,1,14.349,13.591
109,32,b,2,1,244.959,157.262
110,33,a,2,1,85.151,73.167
111,33,b,2,1,60.893,60.377
112,33,c,2,1,259.429,254.134
