Join,Cardinality
lineitem,59986052
partsupp,8000000
nation,25
part,106492
supplier,100000
orders,15000000
supplier-lineitem,59986052
partsupp-lineitem,4798884160
partsupp-lineitem,239944208
part-lineitem,50018817
orders-lineitem,59986052
supplier-nation,100000
supplier-lineitem-partsupp,4798884160
supplier-lineitem-part,50018817
supplier-lineitem-orders,59986052
supplier-lineitem-nation,59986052
partsupp-lineitem-part,4001505360
partsupp-lineitem-orders,4798884160
part-lineitem-orders,50018817
supplier-lineitem-partsupp-part,4001505360
supplier-lineitem-partsupp-orders,4798884160
supplier-lineitem-partsupp-nation,4798884160
supplier-lineitem-part-orders,50018817
supplier-lineitem-part-nation,50018817
supplier-lineitem-orders-nation,59986052
partsupp-lineitem-part-orders,4001505360
supplier-lineitem-partsupp-part-orders,4001505360
supplier-lineitem-partsupp-part-nation,4001505360
supplier-lineitem-partsupp-orders-nation,4798884160
supplier-lineitem-part-orders-nation,50018817
supplier-lineitem-partsupp-part-orders-nation,4001505360
